,fed
0,creatinine_last
1,FUROSEMIDE
2,creatinine_min
3,potassium_max
4,POTASSIUM CHLORIDE
5,diasbp_last
6,INSULIN
7,creatinine_max
8,METOPROLOL
9,creatinine_first
10,bg_paco2_min
11,glucose_max
12,VANCOMYCIN
13,ASPIRIN
14,sysbp_last
15,sysbp_max
16,electivesurgery
17,glucose_last
18,meanbp_first
19,potassium_min
20,MAGNESIUM SULF
21,BMI
22,heartrate_min
23,age
24,bun_last
25,diasbp_first
26,glucose_min
27,hematocrit_last
28,bun_max
29,hemoglobin_first
30,FENTANYL
31,CHLORHEXIDINE
32,bg_pao2fio2ratio_min
33,bg_pao2_first
34,tempc_min
35,bg_pao2fio2ratio_last
36,BISACODYL
37,wbc_min
38,resprate_min
39,bilirubin_last
40,spo2_last
41,ONDANSETRON
42,tempc_max
43,calcium_last
44,HEPARIN
45,wbc_last
46,hematocrit_min
47,bg_paco2_max
48,bg_pao2_max
49,sodium_max
50,tempc_last
51,hemoglobin_min
52,meanbp_max
53,calcium_first
54,is_female
55,heartrate_last
56,bicarbonate_min
57,bg_ph_min
58,diasbp_max
59,bg_ph_last
60,MORPHINE
61,hematocrit_first
62,platelet_first
63,bicarbonate_max
64,sysbp_first
65,urineoutput_sum
66,AMIODARONE
67,resprate_last
68,bg_baseexcess_min
69,sodium_first
70,bilirubin_max
71,inr_max
72,PANTOPRAZOLE
73,potassium_first
74,calcium_min
75,DEXMEDETOMIDINE
76,SENNOSIDES
77,DEXTROSE
78,spo2_first
79,calcium_max
80,meanbp_min
81,bun_min
82,lactate_max
83,tempc_first
84,bilirubin_first
85,wbc_max
86,bg_pao2_last
87,ALBUMIN
88,lactate_first
89,bg_paco2_first
90,SODIUM CHLORIDE
91,meanbp_last
92,bg_pao2fio2ratio_first
93,ACETAMIN
94,CEFAZOLIN
95,spo2_min
96,lactate_last
97,inr_first
98,glucose_first
99,albumin_max
100,bun_first
101,albumin_last
102,sodium_min
103,sysbp_min
104,spo2_max
105,heartrate_first
106,albumin_min
107,lactate_min
108,bg_ph_first
109,bg_baseexcess_last
110,resprate_max
111,hematocrit_max
112,bilirubin_min
113,inr_min
114,hemoglobin_last
115,race_other
116,GLUCAGON
117,bg_paco2_last
118,hemoglobin_max
119,inr_last
120,bg_ph_max
121,heartrate_max
122,bg_baseexcess_max
123,IPRATROPIUM
