,fed
0,creatinine_last
1,FUROSEMIDE
2,creatinine_max
3,urineoutput_sum
4,sysbp_max
5,bicarbonate_min
6,bun_last
7,sysbp_first
8,ONDANSETRON
9,MUPIROCIN
10,bg_pao2_min
11,tempc_min
12,POTASSIUM CHLORIDE
13,METOCLOPRAMIDE
14,glucose_max
15,ALBUMIN
16,DILTIAZEM
17,platelet_last
18,hematocrit_min
19,LEVOTHYROXINE
20,heartrate_first
21,diasbp_last
22,PIPERACILLIN
23,PHENYLEPHRINE
24,bg_baseexcess_min
25,NICARDIPINE
26,NITROGLYCERIN
27,PROCHLORPERAZINE
28,meanbp_first
29,INSULIN
30,ISOSORBIDE
31,INSULIN DETEMIR
32,electivesurgery
33,LACTATED RINGER
34,LABETALOL
35,ALLOPURINOL
36,VENTOLIN
37,PERCOCET
38,PARENTERAL NUTRITION
39,PANTOPRAZOLE
40,OXYCODONE
41,OPTIRAY
42,PHYTONADIONE
43,PHENERGAN
44,OMEPRAZOLE
45,NYSTATIN
46,NORVASC
47,NORMODYNE
48,PNEUMOCOCCAL
49,PLAVIX
50,PLASMA-LYTE
51,NARCAN
52,DIPHENHYDRAMINE
53,EPINEPHRINE
54,resprate_min
55,TRAZODONE
56,NITROPRUSSIDE
57,NOREPINEPHRINE
58,PNU-IMMUNE-23
59,albumin_min
60,bg_ph_min
61,bg_pao2fio2ratio_min
62,NAFCILLIN
63,MOTRIN
64,MORPHINE
65,bg_paco2_min
66,spo2_min
67,NEOSTIGMINE
68,ETOMIDATE
69,NALOXONE
70,meanbp_min
71,EPHEDRINE
72,diasbp_min
73,NEXTERONE
74,NEURONTIN
75,NEOSTIGMINE METHYLSULFATE
76,sysbp_min
77,heartrate_min
78,wbc_last
79,sodium_last
80,NITRO-BID
81,NICOTINE
82,NICODERM
83,potassium_last
84,lactate_last
85,bilirubin_min
86,MONO-SOD
87,NORCO
88,VITAMIN
89,bun_min
90,calcium_min
91,creatinine_min
92,bg_pao2fio2ratio_max
93,SODIUM CHLORIDE
94,VALIUM
95,SODIUM BICARBONATE
96,PRAVASTATIN SODIUM
97,bg_paco2_max
98,bg_pao2_max
99,spo2_max
100,tempc_max
101,SODIUM PHOSPHATE
102,resprate_max
103,SUCCINYLCHOLINE
104,SUBLIMAZE
105,SPIRONOLACTONE
106,SODIUM POLYSTYRENE SULFONATE
