,420,122,243,252,458,199,73,Agg
0,spo2_min,bg_ph_first,heartrate_last,glucose_max,diasbp_last,potassium_max,creatinine_last,creatinine_last
1,HEPARIN,bg_ph_min,POTASSIUM CHLORIDE,urineoutput_sum,FUROSEMIDE,is_female,CHLORHEXIDINE,bg_paco2_min
2,METOPROLOL,tempc_max,meanbp_first,glucose_min,sysbp_first,METOPROLOL,creatinine_min,FUROSEMIDE
3,VANCOMYCIN,BMI,sysbp_last,creatinine_min,age,SODIUM CHLORIDE,ACETAMIN,hematocrit_last
4,glucose_min,bg_pao2_max,METOPROLOL,POTASSIUM CHLORIDE,DEXTROSE,sysbp_max,ASPIRIN,hemoglobin_first
5,FUROSEMIDE,POTASSIUM CHLORIDE,glucose_min,creatinine_last,sysbp_max,spo2_first,is_female,age
6,creatinine_last,bg_pao2fio2ratio_min,FUROSEMIDE,INSULIN,bg_pao2fio2ratio_last,CEFAZOLIN,resprate_max,potassium_max
7,sysbp_last,bg_pao2_last,potassium_min,meanbp_first,creatinine_last,bicarbonate_min,FUROSEMIDE,calcium_first
8,creatinine_min,creatinine_first,PANTOPRAZOLE,creatinine_max,glucose_max,glucose_max,HYDROCODONE,bun_last
9,resprate_first,creatinine_max,potassium_max,creatinine_first,spo2_last,tempc_last,resprate_min,sysbp_last
10,urineoutput_sum,potassium_min,bg_ph_last,PANTOPRAZOLE,glucose_min,resprate_min,heartrate_first,calcium_last
11,ALBUTEROL,creatinine_last,VANCOMYCIN,FUROSEMIDE,tempc_min,ACETAMIN,meanbp_min,glucose_min
12,wbc_last,tempc_min,is_female,potassium_max,bg_pao2fio2ratio_max,diasbp_first,bg_ph_min,hemoglobin_max
13,calcium_min,MAGNESIUM SULF,glucose_max,glucose_first,glucose_last,FAMOTIDINE,HYDRALAZINE,bicarbonate_min
14,wbc_max,urineoutput_sum,tempc_first,heartrate_last,INSULIN,bg_pao2fio2ratio_max,sodium_min,POTASSIUM CHLORIDE
15,glucose_last,bg_pao2_first,electivesurgery,SODIUM CHLORIDE,is_female,sodium_min,FENTANYL,wbc_max
16,BMI,hemoglobin_first,ASPIRIN,HYDROCODONE,diasbp_min,heartrate_max,sysbp_max,tempc_max
17,heartrate_first,hemoglobin_min,diasbp_last,glucose_last,bg_pao2_first,diasbp_last,LISPRO,bg_pao2_last
18,bicarbonate_last,diasbp_last,creatinine_last,albumin_max,glucose_first,sysbp_first,bg_paco2_min,BISACODYL
19,tempc_last,PANTOPRAZOLE,spo2_first,BMI,creatinine_min,resprate_max,hemoglobin_min,creatinine_min
20,calcium_max,bg_paco2_min,ONDANSETRON,ASPIRIN,meanbp_last,INSULIN,diasbp_last,INSULIN
21,OXYCODONE,resprate_min,hematocrit_last,ACETAMIN,resprate_first,tempc_min,bg_pao2fio2ratio_max,platelet_last
22,potassium_max,hemoglobin_max,bg_baseexcess_last,bg_pao2_first,sysbp_min,meanbp_max,FAMOTIDINE,MAGNESIUM SULF
23,ONDANSETRON,hematocrit_min,wbc_max,sysbp_min,creatinine_max,creatinine_last,SODIUM CHLORIDE,glucose_last
24,meanbp_last,bun_min,resprate_last,albumin_first,meanbp_min,calcium_last,diasbp_max,bg_ph_last
25,calcium_last,bg_paco2_last,resprate_first,bicarbonate_last,creatinine_first,spo2_max,sysbp_min,FENTANYL
26,bicarbonate_first,hematocrit_first,bun_last,SENNOSIDES,CHLORHEXIDINE,hematocrit_first,electivesurgery,wbc_min
27,is_female,meanbp_last,lactate_max,spo2_min,ACETAMIN,wbc_max,bg_ph_max,hemoglobin_min
28,creatinine_max,bun_last,sysbp_first,spo2_last,heartrate_first,bun_last,diasbp_first,hemoglobin_last
29,bg_pao2fio2ratio_first,bg_pao2fio2ratio_last,bilirubin_last,hematocrit_min,urineoutput_sum,glucose_min,sysbp_last,potassium_min
30,heartrate_max,albumin_first,CHLORHEXIDINE,albumin_min,resprate_max,meanbp_last,hemoglobin_last,platelet_first
31,resprate_min,sodium_min,meanbp_last,bg_baseexcess_last,bg_pao2_min,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,diasbp_last
32,CALCIUM GLUCONATE,SODIUM CHLORIDE,diasbp_first,sysbp_first,diasbp_first,bicarbonate_first,bun_first,glucose_max
33,creatinine_first,is_female,albumin_first,diasbp_first,bilirubin_min,wbc_last,glucose_min,bg_pao2fio2ratio_min
34,spo2_max,age,urineoutput_sum,sysbp_last,resprate_min,sodium_last,sodium_first,meanbp_first
35,sysbp_min,spo2_min,ASPART,resprate_max,hemoglobin_max,bun_max,race_other,bicarbonate_max
36,bg_pao2fio2ratio_min,meanbp_max,creatinine_min,meanbp_min,diasbp_max,spo2_min,MORPHINE,VANCOMYCIN
37,diasbp_min,calcium_last,resprate_max,spo2_max,bilirubin_last,calcium_min,INSULIN,METOPROLOL
38,bg_ph_first,ASPIRIN,lactate_first,MIDAZOLAM,SODIUM CHLORIDE,diasbp_max,resprate_last,bg_ph_max
39,MAGNESIUM SULF,creatinine_min,bg_paco2_min,spo2_first,meanbp_max,bg_paco2_min,bg_pao2_min,bg_baseexcess_min
40,glucose_max,resprate_last,bg_pao2fio2ratio_max,heartrate_min,meanbp_first,glucose_first,HYDROMORPHONE,bg_pao2_first
41,hemoglobin_first,bg_pao2fio2ratio_first,bilirubin_max,electivesurgery,albumin_first,creatinine_min,bg_ph_first,bg_baseexcess_first
42,ACETAMIN,bicarbonate_last,albumin_last,potassium_min,bg_paco2_last,bg_paco2_first,urineoutput_sum,bg_pao2_min
43,potassium_min,heartrate_last,hemoglobin_first,tempc_max,wbc_min,bg_ph_max,GLUCAGON,sysbp_max
44,hemoglobin_min,bun_first,calcium_max,FENTANYL,bilirubin_max,meanbp_min,glucose_max,heartrate_last
45,bg_paco2_first,ONDANSETRON,bg_paco2_first,MORPHINE,resprate_last,sysbp_min,tempc_first,bg_paco2_first
46,heartrate_last,sysbp_min,bg_paco2_max,tempc_min,potassium_first,glucose_last,sodium_last,calcium_min
47,bg_pao2_first,ALBUTEROL,ATORVASTATIN,POLYETHYLENE GLYCOL,tempc_max,bun_min,meanbp_max,meanbp_min
48,bg_pao2_max,potassium_first,FENTANYL,hemoglobin_min,METOPROLOL,heartrate_last,bun_max,SENNOSIDES
49,bg_baseexcess_max,heartrate_max,heartrate_max,diasbp_min,bicarbonate_min,FENTANYL,calcium_first,ASPIRIN
50,diasbp_last,ENOXAPARIN,heartrate_first,diasbp_max,tempc_last,platelet_last,bun_last,BMI
51,PANTOPRAZOLE,bg_paco2_first,sodium_max,BISACODYL,PANTOPRAZOLE,tempc_first,ALUM HYDROXIDE,bicarbonate_last
52,bicarbonate_max,tempc_last,meanbp_max,tempc_first,ONDANSETRON,lactate_max,spo2_min,is_female
53,bg_paco2_max,resprate_first,lactate_min,meanbp_last,sodium_max,lactate_min,heartrate_last,diasbp_first
54,resprate_max,sysbp_max,bicarbonate_min,heartrate_max,calcium_max,creatinine_max,tempc_last,sysbp_first
55,meanbp_max,lactate_max,sysbp_max,DEXTROSE,BMI,diasbp_min,HEPARIN,HEPARIN
56,tempc_min,glucose_last,hemoglobin_min,METOPROLOL,inr_min,wbc_first,inr_max,bg_pao2fio2ratio_last
57,sodium_min,sysbp_last,tempc_last,is_female,tempc_first,bg_ph_first,potassium_last,resprate_min
58,POTASSIUM CHLORIDE,bg_baseexcess_first,lactate_last,resprate_first,bun_first,ALBUTEROL,meanbp_last,tempc_last
59,tempc_max,sodium_last,spo2_last,FAMOTIDINE,spo2_max,bg_pao2fio2ratio_last,spo2_last,lactate_last
60,ASPIRIN,diasbp_min,wbc_min,CEFAZOLIN,bicarbonate_max,heartrate_min,wbc_first,spo2_first
61,hematocrit_last,spo2_last,ENOXAPARIN,resprate_min,electivesurgery,urineoutput_sum,resprate_first,tempc_first
62,MIDAZOLAM,sodium_first,spo2_min,meanbp_max,calcium_min,albumin_first,CEFAZOLIN,electivesurgery
63,tempc_first,bg_ph_last,DOCUSATE,bun_max,bg_pao2fio2ratio_min,bg_pao2_max,heartrate_min,albumin_min
64,bg_pao2fio2ratio_max,bicarbonate_max,bun_max,resprate_last,spo2_first,heartrate_first,bicarbonate_max,bg_baseexcess_max
65,calcium_first,platelet_max,calcium_last,bicarbonate_first,race_other,albumin_max,bg_ph_last,heartrate_min
66,electivesurgery,hemoglobin_last,HYDRALAZINE,bg_paco2_min,bicarbonate_last,DOCUSATE,sysbp_first,lactate_max
67,PIPERACILLIN,albumin_max,meanbp_min,OMEPRAZOLE,bg_pao2fio2ratio_first,calcium_first,age,SODIUM CHLORIDE
68,potassium_last,potassium_max,bg_ph_max,lactate_last,bg_ph_last,MAGNESIUM SULF,albumin_first,sodium_first
69,hematocrit_first,bg_baseexcess_max,BIOTENE,hematocrit_first,bilirubin_first,ASPIRIN,spo2_max,meanbp_last
70,DOCUSATE,electivesurgery,bg_baseexcess_min,bg_pao2fio2ratio_min,bg_baseexcess_first,HEPARIN,glucose_last,heartrate_first
71,SODIUM CHLORIDE,platelet_min,platelet_first,ALBUTEROL,bg_pao2_max,lactate_first,bun_min,DEXTROSE
72,diasbp_max,resprate_max,hemoglobin_last,sodium_max,bg_ph_min,spo2_last,GLUCOSE,resprate_last
73,resprate_last,inr_last,SODIUM CHLORIDE,potassium_last,LISPRO,albumin_last,bicarbonate_min,diasbp_max
74,ENOXAPARIN,potassium_last,inr_max,age,calcium_last,CHLORHEXIDINE,AMLODIPINE,ALBUMIN
75,bg_paco2_last,meanbp_first,calcium_min,IPRATROPIUM,bun_last,BMI,potassium_max,bg_baseexcess_last
76,LORAZEPAM,glucose_min,HEPARIN,bg_ph_first,bg_ph_first,resprate_first,diasbp_min,albumin_max
77,meanbp_first,calcium_first,bg_ph_first,hematocrit_max,potassium_last,AMIODARONE,platelet_last,ACETAMIN
78,PHENYLEPHRINE,hematocrit_max,inr_first,HYDRALAZINE,inr_last,IPRATROPIUM,ALBUMIN,bicarbonate_first
79,RINGERS SOLUTION,diasbp_first,bilirubin_first,bun_min,lactate_max,tempc_max,IPRATROPIUM,creatinine_first
80,hematocrit_max,heartrate_min,bg_pao2fio2ratio_min,bicarbonate_min,sodium_min,meanbp_first,sodium_max,METOCLOPRAMIDE
81,albumin_first,wbc_first,BISACODYL,VANCOMYCIN,albumin_max,bg_ph_min,creatinine_max,diasbp_min
82,spo2_last,race_other,CARVEDILOL,ONDANSETRON,platelet_max,lactate_last,LACTATED RINGER,DOCUSATE
83,NOREPINEPHRINE,spo2_max,bg_pao2_first,MAGNESIUM SULF,bg_ph_max,bicarbonate_max,SENNOSIDES,sodium_min
84,diasbp_first,bg_pao2fio2ratio_max,tempc_max,bg_pao2_min,lactate_last,age,ENOXAPARIN,albumin_last
85,bg_baseexcess_first,bg_baseexcess_last,platelet_min,tempc_last,sodium_last,bg_pao2_min,tempc_max,heartrate_max
86,spo2_first,platelet_first,platelet_last,heartrate_first,bg_paco2_min,FUROSEMIDE,DEXMEDETOMIDINE,bg_paco2_max
87,bg_pao2fio2ratio_last,diasbp_max,bg_pao2_last,bg_pao2fio2ratio_max,platelet_min,hemoglobin_last,lactate_first,resprate_max
88,LEVOTHYROXINE,lactate_first,tempc_min,lactate_max,hematocrit_min,bilirubin_min,MAGNESIUM SULF,bilirubin_min
89,FAMOTIDINE,METOPROLOL,PHENYLEPHRINE,calcium_last,bg_baseexcess_max,bun_first,LORAZEPAM,hematocrit_max
90,sysbp_max,bicarbonate_min,potassium_first,diasbp_last,DOCUSATE,sodium_max,hemoglobin_max,spo2_max
91,sodium_last,sysbp_first,hematocrit_min,sysbp_max,potassium_min,PLASMA-LYTE,hemoglobin_first,MUPIROCIN
92,lactate_first,platelet_last,albumin_min,DOCUSATE,platelet_last,wbc_min,bg_pao2fio2ratio_min,potassium_last
93,sodium_max,tempc_first,ALPRAZOLAM,sodium_last,lactate_min,platelet_max,tempc_min,bg_pao2fio2ratio_max
94,platelet_last,calcium_min,resprate_min,bg_ph_max,heartrate_last,OMEPRAZOLE,lactate_min,LIDOCAINE
95,age,inr_first,BMI,bicarbonate_max,potassium_max,potassium_first,heartrate_max,inr_max
