,420,122,243,252,458,199,73,Agg
0,HEPARIN,bg_ph_first,POTASSIUM CHLORIDE,glucose_max,diasbp_last,is_female,creatinine_last,creatinine_last
1,spo2_min,bg_ph_min,heartrate_last,urineoutput_sum,age,potassium_max,creatinine_min,hematocrit_last
2,METOPROLOL,bg_pao2_max,sysbp_last,INSULIN,FUROSEMIDE,sysbp_max,CHLORHEXIDINE,FUROSEMIDE
3,FUROSEMIDE,tempc_max,is_female,creatinine_min,DEXTROSE,METOPROLOL,resprate_max,bg_paco2_min
4,glucose_min,bg_pao2fio2ratio_min,meanbp_first,creatinine_last,bg_pao2fio2ratio_last,glucose_max,ASPIRIN,potassium_max
5,VANCOMYCIN,BMI,tempc_first,glucose_min,sysbp_first,SODIUM CHLORIDE,heartrate_first,creatinine_min
6,creatinine_last,POTASSIUM CHLORIDE,METOPROLOL,creatinine_max,creatinine_last,INSULIN,bg_ph_min,sysbp_last
7,creatinine_min,creatinine_first,PANTOPRAZOLE,meanbp_first,sysbp_max,spo2_first,sysbp_max,hemoglobin_first
8,sysbp_last,hemoglobin_first,potassium_min,potassium_max,tempc_min,ACETAMIN,FUROSEMIDE,bicarbonate_min
9,glucose_last,bg_paco2_min,FUROSEMIDE,POTASSIUM CHLORIDE,glucose_last,meanbp_max,FENTANYL,calcium_last
10,urineoutput_sum,tempc_min,potassium_max,creatinine_first,spo2_last,CEFAZOLIN,HYDROCODONE,bicarbonate_max
11,calcium_min,bg_pao2_last,glucose_max,sysbp_last,creatinine_min,tempc_last,meanbp_min,platelet_last
12,potassium_max,creatinine_max,glucose_min,albumin_max,glucose_max,spo2_max,is_female,hemoglobin_max
13,ALBUTEROL,creatinine_last,electivesurgery,FUROSEMIDE,INSULIN,calcium_last,SODIUM CHLORIDE,glucose_last
14,OXYCODONE,diasbp_last,bg_ph_last,glucose_first,bg_pao2fio2ratio_max,FAMOTIDINE,ACETAMIN,glucose_min
15,creatinine_max,urineoutput_sum,hematocrit_last,ASPIRIN,bg_pao2_first,creatinine_last,bg_paco2_min,calcium_first
