,420 Score,122 Score,243 Score,252 Score,458 Score,199 Score,73 Score,Aggregate Score
FUROSEMIDE,39.8162956237793,0.0,7.31580114364624,3.839683771133423,4.496832370758057,0.0,24.29039764404297,10.0
DILTIAZEM,37.24737548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creatinine_last,31.530973434448242,37.60958480834961,28.91232681274414,51.32573318481445,54.47539138793945,58.06480026245117,106.86014556884766,69.0
creatinine_max,27.085418701171875,39.20268249511719,11.845970153808594,19.08805274963379,13.488612174987793,24.30124855041504,8.529108047485352,28.0
ATORVASTATIN,25.51291275024414,0.0,0.0,7.660454750061035,1.191443920135498,0.0,2.0063576698303223,1.0
ALBUMIN,25.437286376953125,0.0,0.0,21.700664520263672,0.0,0.0,26.73050308227539,5.0
VANCOMYCIN,24.998497009277344,0.0,122.81002807617188,0.0,0.8415734767913818,0.0,21.350955963134766,7.0
METRONIDAZOLE,21.591392517089844,0.0,0.0,0.0,0.0,0.0,19.14305305480957,2.0
tempc_min,21.094282150268555,11.667854309082031,9.549572944641113,4.478567123413086,12.724091529846191,5.4769368171691895,8.763776779174805,30.0
bg_baseexcess_min,18.181644439697266,6.28580904006958,4.150874137878418,4.357032775878906,2.8731024265289307,4.067877292633057,2.858184814453125,23.0
ALBUTEROL,12.713315963745117,0.6770776510238647,0.0,1.1279343366622925,10.948360443115234,2.2498362064361572,0.0,4.0
diasbp_first,11.60988712310791,1.5015498399734497,6.022379398345947,6.540696620941162,5.6282196044921875,3.355149745941162,6.844489097595215,47.0
calcium_min,11.543802261352539,10.853226661682129,1.0396493673324585,6.5872015953063965,2.470824956893921,13.64037799835205,12.162991523742676,31.0
NOREPINEPHRINE,11.22757625579834,0.0,0.6193687915802002,144.576904296875,13.50717830657959,0.0,0.0,2.0
glucose_min,10.926423072814941,4.426605701446533,3.4893453121185303,6.740470886230469,8.027693748474121,2.382242441177368,9.751301765441895,54.0
HEPARIN,10.552699089050293,0.0,0.0,0.0,0.0,5.215846538543701,3.1175708770751953,5.0
ASPIRIN,10.107695579528809,5.448249816894531,4.346899509429932,0.1547725796699524,10.402267456054688,0.4051011800765991,6.418215751647949,7.0
bicarbonate_last,10.033644676208496,3.630674123764038,8.9181547164917,10.945380210876465,7.952803134918213,15.551456451416016,2.2142493724823,23.0
DIPHENHYDRAMINE,9.576022148132324,0.0,0.0,6.432033061981201,0.0,0.0,2.437673330307007,0.0
ASPART,9.505966186523438,0.0,3.2901134490966797,0.0,0.0,1.8487058877944946,0.0,5.0
diasbp_min,9.398285865783691,4.159892559051514,3.7638633251190186,3.5387301445007324,8.277420997619629,4.907324314117432,13.053589820861816,32.0
platelet_min,9.212152481079102,0.31909823417663574,2.669987201690674,1.8386013507843018,1.4891937971115112,3.215980291366577,13.190820693969727,24.0
sysbp_min,9.0967435836792,4.958758354187012,5.119011878967285,18.314559936523438,4.162862300872803,4.684638023376465,4.295701026916504,44.0
sodium_min,9.042057037353516,2.770934581756592,3.946650266647339,16.408727645874023,4.467493057250977,27.664155960083008,6.309967041015625,28.0
bg_baseexcess_max,8.851022720336914,2.943666934967041,1.7156435251235962,3.57543683052063,11.727407455444336,2.066667079925537,4.711533069610596,22.0
bg_paco2_last,8.644296646118164,9.814582824707031,6.889743804931641,1.5014584064483643,9.355570793151855,1.7467211484909058,2.8222901821136475,25.0
tempc_max,8.525303840637207,11.110763549804688,3.9991912841796875,1.873282551765442,3.0418574810028076,3.1598942279815674,9.094391822814941,31.0
bun_first,8.479276657104492,7.395371437072754,5.186450958251953,17.589038848876953,3.0534441471099854,8.450474739074707,10.102149963378906,45.0
resprate_first,8.457452774047852,4.026770114898682,4.2848286628723145,2.0280559062957764,5.505209922790527,3.6984405517578125,3.552975654602051,52.0
glucose_last,8.341362953186035,4.028355121612549,5.133079528808594,5.332700252532959,3.039626121520996,3.411647319793701,10.429791450500488,57.0
bg_pao2_min,8.309508323669434,3.694401502609253,3.5984737873077393,3.4351210594177246,2.624627113342285,5.863621234893799,10.732871055603027,48.0
albumin_first,8.238515853881836,1.8402118682861328,4.7637858390808105,9.327977180480957,2.438983917236328,6.717559337615967,5.719564437866211,25.0
calcium_max,8.193163871765137,1.1856855154037476,1.0299527645111084,9.200807571411133,7.220372676849365,26.923559188842773,8.19721508026123,25.0
sysbp_last,8.18012809753418,13.700714111328125,8.377137184143066,8.632037162780762,2.304347038269043,5.085604190826416,6.487196922302246,52.0
bg_pao2_first,8.104497909545898,7.1759209632873535,3.0866668224334717,5.419935703277588,6.149666786193848,4.42828893661499,6.429840087890625,53.0
calcium_last,8.019157409667969,0.8621808886528015,2.052030086517334,8.363635063171387,6.717549800872803,7.198361873626709,17.27198028564453,37.0
bg_ph_first,7.983067035675049,15.503705024719238,6.783871173858643,2.546013116836548,2.518711805343628,5.943580150604248,9.116433143615723,43.0
PROPOFOL,7.89724588394165,0.0,0.0,5.157680511474609,0.0,3.350815773010254,0.0,1.0
sodium_max,7.831408500671387,4.547889709472656,5.392722129821777,0.4309321939945221,5.911073684692383,3.7217137813568115,9.049854278564453,30.0
bilirubin_last,7.687650203704834,0.4237026572227478,4.279998302459717,1.6049081087112427,5.149600505828857,4.769413471221924,12.818181037902832,24.0
diasbp_max,7.652481555938721,1.152001976966858,2.7469727993011475,4.963433265686035,4.181334495544434,6.5240983963012695,5.704868793487549,37.0
inr_max,7.649990081787109,0.5446920394897461,4.759421348571777,0.7067747116088867,1.5976512432098389,6.483254909515381,5.324373245239258,15.0
potassium_min,7.524933338165283,5.3249831199646,3.582899332046509,4.239832878112793,8.968757629394531,0.7018599510192871,10.81822395324707,38.0
bg_pao2fio2ratio_max,7.434420585632324,2.810072898864746,3.2536563873291016,5.715466022491455,3.899967908859253,14.119257926940918,9.326042175292969,32.0
glucose_first,7.419836521148682,1.9618898630142212,2.7121219635009766,5.490978717803955,9.5075044631958,6.245876312255859,9.429445266723633,45.0
potassium_last,7.352102279663086,10.986872673034668,3.7724618911743164,9.913492202758789,8.128257751464844,1.7048115730285645,3.7114694118499756,32.0
TRAMADOL,7.259039402008057,0.0,3.37188720703125,0.3466525077819824,0.0,0.0,0.0,1.0
wbc_last,6.8442864418029785,5.272368431091309,3.655020236968994,2.338124990463257,3.4146556854248047,1.873799443244934,3.9426310062408447,21.0
bg_ph_min,6.734320163726807,8.293939590454102,2.7204501628875732,2.1382410526275635,10.396668434143066,5.938904285430908,9.047868728637695,35.0
bg_pao2fio2ratio_first,6.670983791351318,7.110682487487793,6.686887741088867,3.4567794799804688,1.3059107065200806,4.620025157928467,5.411788463592529,31.0
bg_pao2_max,6.615394115447998,6.180552959442139,4.640079498291016,5.9084014892578125,6.465062618255615,9.947392463684082,5.01632833480835,30.0
hematocrit_max,6.539063453674316,3.1129519939422607,1.4449706077575684,1.203310251235962,3.910784959793091,5.372134208679199,5.958927154541016,24.0
wbc_max,6.497692584991455,0.6717624664306641,3.732513904571533,3.537971019744873,1.0172019004821777,2.817891836166382,6.502446174621582,28.0
meanbp_last,6.361523151397705,5.618171215057373,6.8900370597839355,0.7656169533729553,6.737025260925293,4.360131740570068,3.093339204788208,40.0
resprate_max,6.2632060050964355,9.202728271484375,5.571126937866211,4.094282627105713,3.036203384399414,11.15172290802002,10.537355422973633,55.0
meanbp_first,6.145271301269531,7.734467506408691,2.6207380294799805,2.880110502243042,6.729792594909668,7.1729559898376465,9.496988296508789,45.0
hematocrit_first,5.928933143615723,8.804204940795898,5.363734245300293,11.520245552062988,7.467016696929932,11.316455841064453,7.469503879547119,28.0
METOPROLOL,5.838659763336182,14.46190071105957,3.9393742084503174,3.6239864826202393,1.0903563499450684,11.37608814239502,0.5799912810325623,13.0
calcium_first,5.7292585372924805,17.89855194091797,4.457432746887207,4.416954040527344,7.497751235961914,4.846567153930664,8.758214950561523,27.0
albumin_last,5.643438339233398,7.98129415512085,4.6861371994018555,7.006536960601807,7.483664035797119,8.921717643737793,7.542879581451416,20.0
HYDRALAZINE,5.44312858581543,0.0,3.9534482955932617,1.5392698049545288,0.0,0.0,0.0,1.0
hemoglobin_min,5.37713623046875,32.619117736816406,3.1510508060455322,27.7683048248291,5.975254535675049,4.164193630218506,2.476865768432617,26.0
bun_last,5.334840297698975,5.446943759918213,6.9590067863464355,3.3061866760253906,6.545340061187744,9.058536529541016,1.1772377490997314,36.0
glucose_max,5.254586219787598,3.744921922683716,11.995859146118164,9.9915132522583,14.324134826660156,11.634801864624023,6.940681457519531,61.0
bilirubin_first,5.209659576416016,0.6701710820198059,2.704413890838623,7.397793769836426,4.844304084777832,5.722024440765381,1.6270201206207275,35.0
hematocrit_last,5.181180000305176,8.813023567199707,3.3416802883148193,2.6567282676696777,4.701930046081543,12.336791038513184,14.646565437316895,28.0
spo2_max,5.176003456115723,0.5223970413208008,5.5117573738098145,2.9080393314361572,2.104188919067383,0.3722276985645294,7.357132434844971,17.0
bg_pao2_last,5.159930229187012,4.702859401702881,3.0307788848876953,3.1231510639190674,1.3077280521392822,6.137858867645264,7.363731861114502,32.0
bg_baseexcess_last,5.128410816192627,3.8444979190826416,5.110809326171875,11.442261695861816,4.109986782073975,1.9900010824203491,4.411419868469238,21.0
platelet_last,4.996444225311279,6.024791240692139,4.123584270477295,2.6188628673553467,6.565990447998047,17.165761947631836,10.008275985717773,31.0
meanbp_max,4.962830543518066,3.314690589904785,7.687972545623779,7.324025630950928,2.6731505393981934,14.756158828735352,9.973939895629883,43.0
diasbp_last,4.937615394592285,9.037220001220703,4.65411376953125,8.323173522949219,7.594346046447754,7.791388988494873,11.85057544708252,53.0
heartrate_last,4.9131598472595215,6.340462684631348,3.1535897254943848,9.682857513427734,2.5252223014831543,5.5156989097595215,5.337461948394775,42.0
spo2_min,4.702424049377441,2.2428040504455566,1.4531421661376953,8.79693603515625,5.584939002990723,2.7186620235443115,9.674009323120117,46.0
heartrate_first,4.6539716720581055,7.2280683517456055,3.900259256362915,8.23563003540039,5.5009870529174805,6.532977104187012,7.307928562164307,48.0
creatinine_min,4.552120208740234,13.11270809173584,21.21171760559082,9.451342582702637,5.8326592445373535,8.617286682128906,13.685832977294922,45.0
urineoutput_sum,4.543336868286133,3.0053701400756836,5.90291166305542,8.791997909545898,3.602299690246582,5.218517780303955,5.237545490264893,41.0
wbc_first,4.5321269035339355,0.669596791267395,2.751091718673706,2.914553642272949,2.371344566345215,3.149221658706665,7.689600944519043,25.0
age,4.489168643951416,4.288857936859131,3.0678162574768066,4.633423328399658,9.67801284790039,6.103312969207764,4.614483833312988,41.0
LEVOTHYROXINE,4.399819850921631,0.0,7.4608917236328125,0.0,0.0,0.0,2.1643166542053223,2.0
creatinine_first,4.383862495422363,38.99351501464844,13.162551879882812,6.740076541900635,11.476994514465332,3.6691734790802,6.964218616485596,44.0
albumin_max,4.2773542404174805,8.475659370422363,6.774747371673584,1.668998122215271,10.462042808532715,0.5367478728294373,3.6719141006469727,15.0
tempc_first,4.258813381195068,5.559556484222412,4.02300500869751,11.1256103515625,9.419784545898438,2.672133207321167,5.450839042663574,50.0
inr_first,4.146772384643555,1.6100479364395142,6.468865871429443,7.2903947830200195,2.9026713371276855,5.447998523712158,9.914952278137207,33.0
PIPERACILLIN,4.036153316497803,0.0,0.0,0.0,0.0,2.2881860733032227,0.0,3.0
bicarbonate_min,3.9696104526519775,0.5752893090248108,2.063476085662842,0.22191429138183594,2.5068864822387695,5.412080764770508,3.7938053607940674,21.0
bg_ph_max,3.9664368629455566,4.25097131729126,2.1092708110809326,5.9946064949035645,4.2143425941467285,3.2205116748809814,5.955900192260742,36.0
inr_last,3.9354920387268066,0.0,3.399313449859619,4.737770080566406,8.157851219177246,9.41150188446045,12.345902442932129,23.0
spo2_last,3.923644542694092,7.435888290405273,1.2375138998031616,5.885504245758057,5.691176891326904,12.58695125579834,7.292299270629883,28.0
meanbp_min,3.8832192420959473,4.450306415557861,4.056377410888672,9.862382888793945,3.167620897293091,4.473515033721924,7.949427604675293,45.0
POTASSIUM CHLORIDE,3.8197028636932373,13.350224494934082,15.51657485961914,8.56998062133789,2.2955708503723145,0.0,0.7565719485282898,4.0
sysbp_first,3.7231268882751465,2.7484538555145264,4.703675270080566,3.0106348991394043,2.937142848968506,6.844789028167725,10.13760757446289,56.0
lactate_min,3.6678473949432373,1.516061544418335,1.9480783939361572,1.9640507698059082,3.3452115058898926,4.050484657287598,3.837178945541382,26.0
hematocrit_min,3.660392999649048,8.29735279083252,4.075486183166504,1.5926263332366943,18.954601287841797,16.139768600463867,5.8940348625183105,40.0
resprate_last,3.647409200668335,6.800105094909668,10.150382995605469,3.6883022785186768,4.3589653968811035,4.8950605392456055,5.038780689239502,46.0
bg_paco2_min,3.6134703159332275,11.097521781921387,4.3100152015686035,12.833574295043945,3.897505521774292,8.469449996948242,4.775619029998779,43.0
lactate_first,3.5707263946533203,0.6366522312164307,3.465698719024658,1.8200035095214844,1.7654772996902466,8.343622207641602,9.118795394897461,35.0
BMI,3.5530707836151123,3.2816853523254395,2.8169784545898438,4.878398418426514,2.93696665763855,7.976653099060059,11.221012115478516,65.0
bg_baseexcess_first,3.5018444061279297,7.3590312004089355,0.49112367630004883,10.325154304504395,0.7413065433502197,5.463064193725586,2.275120258331299,16.0
bun_max,3.494868278503418,17.44059944152832,4.508136749267578,3.0349230766296387,2.108999729156494,15.662293434143066,9.712116241455078,21.0
sodium_last,3.4404337406158447,1.404288649559021,5.564040660858154,5.17444372177124,6.535572052001953,5.7114949226379395,6.7285614013671875,33.0
bg_ph_last,3.4070117473602295,5.059237480163574,4.185583591461182,1.4375872611999512,3.037766456604004,6.21360445022583,10.51731014251709,41.0
tempc_last,3.270369052886963,2.1705098152160645,4.71019983291626,2.7573189735412598,3.3705637454986572,5.508494853973389,11.953417778015137,48.0
sodium_first,3.2647407054901123,3.8761415481567383,4.582982540130615,3.466085433959961,2.644665479660034,1.512985110282898,13.818075180053711,25.0
potassium_max,3.212061882019043,3.551424026489258,4.049858093261719,4.439075946807861,4.743912696838379,9.183097839355469,2.8424012660980225,34.0
heartrate_max,3.1093215942382812,11.869965553283691,4.72429084777832,5.0065999031066895,5.033797740936279,5.809941291809082,4.9726762771606445,33.0
