,420,122,243,252,458,199,73,Agg
0,creatinine_last,creatinine_max,INSULIN,creatinine_max,creatinine_last,creatinine_last,creatinine_max,creatinine_max
1,FUROSEMIDE,creatinine_last,VANCOMYCIN,FUROSEMIDE,FUROSEMIDE,creatinine_max,creatinine_last,FUROSEMIDE
2,ASPIRIN,bun_min,creatinine_max,creatinine_last,SODIUM BICARBONATE,glucose_last,creatinine_min,creatinine_last
3,bun_last,resprate_max,LACTATED RINGER,urineoutput_sum,lactate_max,bun_last,AMIODARONE,ASPART
4,platelet_min,platelet_min,ASPART,bg_ph_max,creatinine_min,hematocrit_min,LISPRO,VANCOMYCIN
5,creatinine_min,hemoglobin_min,BISACODYL,albumin_last,lactate_last,inr_min,ASPIRIN,ASPIRIN
6,bun_min,POTASSIUM CHLORIDE,creatinine_last,creatinine_min,bicarbonate_first,platelet_min,FUROSEMIDE,PHENYLEPHRINE
7,TAMSULOSIN,potassium_min,POTASSIUM CHLORIDE,potassium_max,tempc_min,meanbp_min,LACTATED RINGER,LACTATED RINGER
8,ALBUMIN,meanbp_first,creatinine_min,BMI,glucose_max,FUROSEMIDE,CHLORHEXIDINE,METOPROLOL
9,HYDROCORTISONE,bg_ph_max,METOPROLOL,bg_baseexcess_min,hematocrit_min,heartrate_last,meanbp_min,electivesurgery
10,bg_pao2fio2ratio_first,hematocrit_last,glucose_max,glucose_first,bicarbonate_max,resprate_max,DEXMEDETOMIDINE,glucose_max
11,platelet_last,hemoglobin_first,DEXMEDETOMIDINE,age,SPIRONOLACTONE,creatinine_min,platelet_min,MAGNESIUM SULF
12,glucose_max,heartrate_min,PHENYLEPHRINE,bilirubin_min,is_female,wbc_min,bicarbonate_min,bun_last
13,wbc_max,wbc_last,LISINOPRIL,SENNOSIDES,platelet_last,bun_max,calcium_last,NOREPINEPHRINE
14,platelet_max,creatinine_first,NOREPINEPHRINE,wbc_first,lactate_min,wbc_max,SIMVASTATIN,calcium_min
15,tempc_min,bg_pao2_last,FUROSEMIDE,lactate_first,SIMVASTATIN,meanbp_last,bg_ph_max,AMIODARONE
16,sodium_min,bg_pao2_first,potassium_max,heartrate_min,bg_paco2_last,hemoglobin_max,BISACODYL,potassium_min
17,calcium_max,diasbp_min,urineoutput_sum,LISINOPRIL,diasbp_last,sysbp_max,ONDANSETRON,ALBUMIN
18,HEPARIN,bilirubin_min,lactate_min,bg_paco2_last,bg_ph_min,ALBUMIN,diasbp_last,bun_min
19,bg_baseexcess_max,hematocrit_min,ASPIRIN,lactate_last,platelet_min,calcium_last,bilirubin_max,bilirubin_max
20,hemoglobin_max,hemoglobin_max,bicarbonate_min,tempc_last,bg_paco2_max,bg_baseexcess_first,heartrate_max,bg_pao2fio2ratio_min
21,CHLORHEXIDINE,potassium_first,bg_ph_min,heartrate_max,sysbp_min,bun_min,potassium_last,MUPIROCIN
22,bilirubin_min,bg_ph_first,bg_pao2fio2ratio_min,SODIUM CHLORIDE,inr_min,platelet_first,hemoglobin_max,race_other
23,hemoglobin_min,lactate_max,bicarbonate_last,sodium_last,potassium_max,bilirubin_max,meanbp_max,bg_ph_min
24,albumin_max,albumin_min,diasbp_max,sodium_first,potassium_min,wbc_last,inr_last,HYDROCODONE
25,glucose_min,bicarbonate_max,inr_max,sodium_max,bun_min,PIPERACILLIN,sodium_last,INSULIN
26,urineoutput_sum,bun_last,bg_pao2_max,glucose_max,calcium_min,hematocrit_last,calcium_min,LISPRO
27,bg_baseexcess_min,potassium_max,glucose_min,hematocrit_min,meanbp_last,bg_paco2_first,spo2_last,bg_baseexcess_min
28,wbc_min,bun_max,meanbp_max,bun_last,BMI,bg_pao2_max,resprate_first,bun_max
29,calcium_min,bicarbonate_last,bilirubin_min,bicarbonate_last,CITALOPRAM,potassium_min,tempc_max,bg_paco2_min
30,bicarbonate_max,hemoglobin_last,albumin_max,lactate_max,sodium_min,calcium_min,potassium_min,hematocrit_last
31,bg_ph_min,ATORVASTATIN,hemoglobin_max,hematocrit_max,hematocrit_max,hemoglobin_first,inr_min,inr_min
32,hematocrit_first,heartrate_last,bg_pao2fio2ratio_first,calcium_min,tempc_last,sodium_max,inr_max,bg_pao2_max
33,meanbp_max,bg_pao2_max,calcium_max,bg_ph_last,inr_max,glucose_min,wbc_first,CEFTRIAXONE
34,bg_pao2fio2ratio_max,lactate_min,sysbp_max,sysbp_last,resprate_min,heartrate_max,bg_baseexcess_max,albumin_max
35,bg_pao2fio2ratio_min,platelet_last,potassium_last,meanbp_last,potassium_first,hematocrit_max,BMI,sodium_min
36,creatinine_max,creatinine_min,bun_min,bg_paco2_min,creatinine_max,NOREPINEPHRINE,sodium_max,urineoutput_sum
37,bicarbonate_min,glucose_min,bg_paco2_min,resprate_max,diasbp_min,lactate_max,meanbp_first,inr_last
38,potassium_max,glucose_max,heartrate_max,spo2_max,meanbp_max,bg_paco2_min,tempc_last,hematocrit_min
39,glucose_last,bg_pao2fio2ratio_min,hematocrit_max,bg_pao2fio2ratio_last,bg_pao2_first,bg_pao2fio2ratio_min,spo2_max,glucose_first
40,ENOXAPARIN,diasbp_max,heartrate_min,bicarbonate_max,resprate_max,platelet_last,wbc_max,spo2_max
41,hematocrit_min,potassium_last,potassium_min,inr_first,albumin_last,spo2_min,glucose_min,SODIUM BICARBONATE
42,lactate_last,resprate_last,platelet_min,potassium_min,spo2_last,bg_ph_max,diasbp_min,bg_pao2_min
43,tempc_max,bg_ph_last,bg_pao2fio2ratio_max,spo2_last,meanbp_min,BMI,bg_pao2fio2ratio_last,sysbp_max
44,hemoglobin_first,METOPROLOL,inr_first,hemoglobin_min,calcium_max,resprate_last,glucose_max,FAMOTIDINE
45,heartrate_max,wbc_min,meanbp_last,platelet_min,urineoutput_sum,bg_pao2fio2ratio_last,creatinine_first,sodium_max
46,hematocrit_last,platelet_first,resprate_max,calcium_max,bicarbonate_min,bicarbonate_max,INSULIN,bilirubin_min
47,resprate_max,wbc_max,hematocrit_first,albumin_first,hemoglobin_first,tempc_max,heartrate_min,glucose_min
48,electivesurgery,glucose_first,meanbp_first,bg_paco2_max,wbc_last,wbc_first,hematocrit_max,inr_max
49,bg_pao2_max,bun_first,LEVOFLOXACIN,bg_baseexcess_last,bicarbonate_last,glucose_max,lactate_first,potassium_last
50,bg_pao2_min,heartrate_max,bg_pao2fio2ratio_last,platelet_max,bg_pao2fio2ratio_min,spo2_first,bg_ph_last,hemoglobin_first
51,albumin_min,meanbp_last,spo2_min,bg_pao2_last,VANCOMYCIN,urineoutput_sum,lactate_min,CHLORHEXIDINE
52,lactate_first,lactate_first,inr_last,potassium_last,glucose_last,diasbp_last,CLONIDINE,hemoglobin_last
53,meanbp_last,age,TRAMADOL,bg_pao2fio2ratio_max,bun_max,albumin_max,age,meanbp_first
54,resprate_last,bg_paco2_min,tempc_max,glucose_last,bg_pao2_max,hemoglobin_min,bilirubin_min,bicarbonate_min
55,FENTANYL,calcium_min,inr_min,heartrate_last,age,bg_pao2_min,potassium_max,hemoglobin_max
56,DEXAMETHASONE,bg_paco2_max,glucose_first,diasbp_max,meanbp_first,bicarbonate_last,platelet_max,hematocrit_max
57,TACROLIMUS,ASPIRIN,bicarbonate_max,bg_pao2fio2ratio_first,glucose_first,lactate_last,bg_pao2fio2ratio_max,meanbp_min
58,albumin_last,bg_pao2fio2ratio_max,hemoglobin_first,hematocrit_first,bg_paco2_min,sodium_min,lactate_max,age
59,albumin_first,diasbp_last,albumin_min,albumin_max,wbc_min,diasbp_min,bun_min,bicarbonate_last
60,AMLODIPINE,sysbp_min,SODIUM CHLORIDE,MIDAZOLAM,tempc_first,platelet_max,glucose_first,bg_pao2fio2ratio_max
61,DOCUSATE,wbc_first,lactate_last,meanbp_first,bg_pao2fio2ratio_last,lactate_first,PROCHLORPERAZINE,platelet_last
