,420,122,243,252,458,199,73,Agg
0,creatinine_last,creatinine_last,creatinine_max,creatinine_max,creatinine_last,creatinine_last,creatinine_last,creatinine_last
1,urineoutput_sum,creatinine_max,creatinine_last,creatinine_last,FUROSEMIDE,glucose_last,creatinine_max,creatinine_max
2,ASPIRIN,resprate_max,ASPART,urineoutput_sum,glucose_max,bun_last,creatinine_min,FUROSEMIDE
3,glucose_max,wbc_last,glucose_max,bg_ph_max,lactate_last,bg_paco2_first,wbc_first,glucose_max
4,creatinine_min,bg_ph_max,bg_pao2_max,creatinine_min,tempc_min,creatinine_max,CHLORHEXIDINE,bg_pao2fio2ratio_min
5,FUROSEMIDE,hematocrit_min,creatinine_min,glucose_max,sysbp_first,BMI,LACTATED RINGER,ASPIRIN
6,calcium_max,glucose_max,ASPIRIN,age,urineoutput_sum,bun_max,creatinine_first,glucose_min
7,platelet_min,bg_pao2fio2ratio_min,urineoutput_sum,potassium_max,creatinine_min,glucose_max,diasbp_last,meanbp_first
8,glucose_min,bg_pao2_last,bg_ph_min,creatinine_first,albumin_first,platelet_min,FUROSEMIDE,sysbp_max
9,wbc_max,bg_baseexcess_first,meanbp_first,bg_paco2_min,age,heartrate_max,heartrate_min,urineoutput_sum
10,bun_last,resprate_last,bg_pao2fio2ratio_min,albumin_first,bg_paco2_last,lactate_first,tempc_min,bun_last
11,bg_pao2fio2ratio_min,hemoglobin_first,bg_pao2fio2ratio_first,wbc_min,bg_pao2fio2ratio_min,meanbp_min,meanbp_first,bg_paco2_min
12,glucose_last,potassium_min,POTASSIUM CHLORIDE,SODIUM CHLORIDE,spo2_first,creatinine_min,heartrate_max,wbc_last
13,bg_pao2fio2ratio_first,bg_paco2_min,INSULIN,sysbp_first,meanbp_max,bg_ph_last,ALBUMIN,calcium_last
14,resprate_max,bicarbonate_max,glucose_first,BMI,meanbp_first,meanbp_first,spo2_last,potassium_min
15,resprate_last,hematocrit_last,METOPROLOL,sysbp_min,bg_pao2_max,heartrate_last,tempc_max,calcium_min
16,BMI,bg_ph_first,NOREPINEPHRINE,FUROSEMIDE,bg_pao2_first,urineoutput_sum,bilirubin_max,diasbp_max
17,sysbp_max,platelet_first,BISACODYL,sodium_last,bicarbonate_first,diasbp_first,meanbp_min,sysbp_last
18,creatinine_first,bg_pao2_max,hemoglobin_first,tempc_first,platelet_last,bg_pao2_first,glucose_first,bg_ph_last
19,tempc_min,bun_min,bg_pao2fio2ratio_last,sysbp_last,sodium_min,age,heartrate_last,bg_ph_min
20,bg_pao2_min,bg_ph_min,sysbp_max,sysbp_max,sysbp_max,sysbp_first,inr_last,age
21,platelet_first,meanbp_first,bg_ph_first,heartrate_max,calcium_first,potassium_min,wbc_max,glucose_last
22,age,wbc_min,inr_max,platelet_first,sysbp_min,wbc_last,BMI,hemoglobin_first
23,bg_pao2fio2ratio_max,heartrate_first,heartrate_last,albumin_last,glucose_first,sysbp_max,bg_pao2fio2ratio_max,tempc_min
24,diasbp_first,bg_ph_last,LACTATED RINGER,bg_baseexcess_min,platelet_min,platelet_first,meanbp_last,tempc_first
25,tempc_max,sysbp_min,inr_first,spo2_max,bg_pao2fio2ratio_first,calcium_last,bg_pao2fio2ratio_last,albumin_max
26,bg_pao2_first,bun_last,bg_paco2_min,hematocrit_first,hemoglobin_first,hematocrit_last,resprate_first,potassium_max
27,heartrate_max,BMI,heartrate_max,bg_ph_last,bg_paco2_min,glucose_first,bg_ph_last,tempc_max
28,sysbp_last,glucose_first,potassium_max,glucose_last,bg_ph_min,resprate_last,diasbp_first,heartrate_last
29,HEPARIN,heartrate_last,heartrate_first,sodium_first,diasbp_min,tempc_first,inr_max,meanbp_max
30,hematocrit_last,creatinine_first,diasbp_max,meanbp_first,creatinine_first,tempc_last,heartrate_first,resprate_last
31,platelet_last,lactate_first,FUROSEMIDE,glucose_min,spo2_last,bilirubin_max,ASPIRIN,bg_pao2_max
32,SENNOSIDES,glucose_last,spo2_first,bun_last,diasbp_last,bg_pao2_min,sysbp_max,resprate_min
33,platelet_max,sysbp_last,resprate_max,lactate_first,resprate_max,diasbp_last,hematocrit_last,creatinine_first
34,bun_min,age,heartrate_min,meanbp_last,bg_paco2_first,hemoglobin_first,diasbp_min,diasbp_min
35,creatinine_max,bg_pao2fio2ratio_first,BMI,heartrate_first,lactate_max,sodium_min,sysbp_first,diasbp_last
36,sysbp_first,meanbp_min,tempc_last,heartrate_min,creatinine_max,hematocrit_min,resprate_max,hemoglobin_max
37,calcium_min,potassium_first,bg_ph_max,glucose_first,BMI,spo2_first,bg_ph_min,resprate_max
38,tempc_first,hematocrit_max,sysbp_first,calcium_first,meanbp_last,sysbp_last,sysbp_last,creatinine_min
39,diasbp_last,bg_paco2_max,creatinine_first,bg_baseexcess_first,spo2_min,platelet_max,glucose_max,heartrate_min
40,heartrate_last,bg_paco2_first,resprate_first,spo2_first,albumin_last,potassium_max,glucose_min,spo2_first
41,meanbp_first,bg_pao2_min,meanbp_min,albumin_min,resprate_last,wbc_max,LISPRO,potassium_last
42,meanbp_last,urineoutput_sum,potassium_last,hemoglobin_max,tempc_first,bg_baseexcess_first,bg_paco2_first,meanbp_min
43,bun_max,hemoglobin_last,meanbp_max,diasbp_max,bg_pao2fio2ratio_max,resprate_max,bicarbonate_min,calcium_first
44,diasbp_max,lactate_max,glucose_last,hematocrit_last,bicarbonate_min,sodium_max,urineoutput_sum,BMI
45,bicarbonate_last,glucose_min,VANCOMYCIN,potassium_min,inr_first,bg_paco2_max,bg_pao2_first,wbc_first
46,tempc_last,diasbp_last,lactate_min,diasbp_min,bg_pao2fio2ratio_last,bg_ph_min,calcium_last,bun_max
47,potassium_first,creatinine_min,glucose_min,diasbp_last,ONDANSETRON,heartrate_first,age,platelet_last
48,heartrate_first,bicarbonate_first,inr_last,bicarbonate_last,meanbp_min,bilirubin_first,glucose_last,inr_max
49,potassium_max,hemoglobin_min,diasbp_first,lactate_last,lactate_min,hematocrit_first,resprate_min,glucose_first
50,sodium_min,spo2_first,hemoglobin_max,sodium_max,lactate_first,bicarbonate_max,sysbp_min,bg_pao2fio2ratio_max
51,bg_pao2_max,platelet_last,hematocrit_first,bg_paco2_max,heartrate_first,bg_baseexcess_max,platelet_last,bg_pao2fio2ratio_last
52,glucose_first,heartrate_min,bg_pao2_first,bun_min,albumin_min,bg_pao2fio2ratio_first,platelet_first,race_other
53,spo2_max,potassium_last,bicarbonate_max,wbc_max,potassium_min,glucose_min,tempc_last,platelet_first
54,meanbp_max,diasbp_min,platelet_first,potassium_last,hemoglobin_max,sodium_last,bg_ph_max,sysbp_min
55,sysbp_min,sysbp_first,bicarbonate_first,bg_ph_first,platelet_first,lactate_max,meanbp_max,bg_pao2_first
56,heartrate_min,meanbp_last,bicarbonate_min,bg_paco2_first,resprate_min,bg_baseexcess_last,potassium_last,meanbp_last
57,lactate_min,diasbp_first,spo2_min,bg_pao2_min,wbc_max,wbc_first,resprate_last,bilirubin_last
58,bg_ph_first,potassium_max,wbc_last,bg_pao2fio2ratio_max,bun_max,bun_min,hematocrit_max,bicarbonate_min
59,TACROLIMUS,calcium_last,sysbp_last,hematocrit_max,glucose_last,sysbp_min,bun_last,hematocrit_min
60,lactate_first,hematocrit_first,albumin_first,resprate_max,wbc_last,ALBUMIN,platelet_min,bg_ph_first
61,bg_ph_last,ATORVASTATIN,calcium_first,heartrate_last,resprate_first,spo2_last,bg_pao2_min,bg_pao2_min
62,albumin_first,tempc_max,meanbp_last,lactate_max,bg_ph_max,meanbp_last,bg_paco2_max,resprate_first
63,wbc_first,POTASSIUM CHLORIDE,tempc_max,lactate_min,glucose_min,resprate_first,tempc_first,bg_paco2_first
64,meanbp_min,bg_paco2_last,hematocrit_max,hemoglobin_min,tempc_last,bg_paco2_min,bg_pao2_max,potassium_first
65,bg_baseexcess_last,hemoglobin_max,bicarbonate_last,hemoglobin_first,hematocrit_min,bun_first,ONDANSETRON,bg_paco2_max
66,albumin_last,albumin_first,albumin_max,albumin_max,diasbp_max,spo2_max,potassium_max,diasbp_first
67,bg_ph_max,tempc_first,resprate_last,bg_pao2fio2ratio_min,wbc_first,AMIODARONE,hematocrit_min,bg_pao2_last
68,calcium_first,heartrate_max,bun_min,spo2_last,sysbp_last,bg_paco2_last,PROPOFOL,hematocrit_last
69,hematocrit_first,sodium_first,bg_baseexcess_max,resprate_min,inr_max,bg_pao2fio2ratio_min,wbc_min,bg_pao2fio2ratio_first
70,hemoglobin_min,tempc_min,PHENYLEPHRINE,hemoglobin_last,bun_min,bg_pao2_last,HEPARIN,heartrate_max
71,wbc_min,bg_pao2fio2ratio_max,diasbp_last,hematocrit_min,diasbp_first,diasbp_min,bg_pao2fio2ratio_first,heartrate_first
72,calcium_last,lactate_min,lactate_first,wbc_first,bicarbonate_last,wbc_min,hematocrit_first,sodium_min
73,bicarbonate_min,bg_pao2_first,bg_pao2fio2ratio_max,bg_pao2_first,tempc_max,platelet_last,inr_min,albumin_first
74,bg_paco2_max,resprate_min,tempc_first,tempc_min,bg_ph_first,calcium_min,spo2_min,sysbp_first
75,resprate_first,bg_pao2fio2ratio_last,wbc_max,platelet_last,heartrate_max,tempc_max,bg_ph_first,inr_first
76,hematocrit_max,resprate_first,bg_baseexcess_last,bg_paco2_last,potassium_first,tempc_min,lactate_last,bun_min
77,bg_ph_min,platelet_min,bg_paco2_last,wbc_last,platelet_max,bg_pao2_max,bg_pao2fio2ratio_min,inr_last
78,lactate_last,wbc_max,bg_ph_last,bg_pao2_last,wbc_min,spo2_min,bun_max,lactate_first
79,potassium_min,diasbp_max,hemoglobin_last,resprate_first,bg_ph_last,inr_last,diasbp_max,bicarbonate_last
80,lactate_max,bg_baseexcess_max,bg_pao2_last,spo2_min,bg_paco2_max,hematocrit_max,bilirubin_first,hematocrit_first
81,bg_pao2_last,wbc_first,bg_paco2_max,bg_pao2_max,sodium_last,bg_pao2fio2ratio_max,bg_paco2_min,wbc_min
82,hematocrit_min,spo2_min,lactate_last,meanbp_max,bicarbonate_max,bg_pao2fio2ratio_last,bg_paco2_last,bilirubin_max
83,bg_pao2fio2ratio_last,calcium_first,albumin_last,resprate_last,potassium_last,bg_ph_first,hemoglobin_max,bg_baseexcess_min
84,spo2_first,meanbp_max,inr_min,MIDAZOLAM,heartrate_min,sodium_first,lactate_first,LACTATED RINGER
85,bg_baseexcess_min,bun_first,calcium_max,tempc_last,potassium_max,meanbp_max,bun_first,albumin_min
86,hemoglobin_max,bicarbonate_last,sodium_max,bg_baseexcess_last,bg_pao2_last,bg_ph_max,INSULIN,electivesurgery
87,spo2_last,sodium_max,bg_pao2_min,sodium_min,bg_pao2_min,creatinine_first,calcium_min,VANCOMYCIN
88,bun_first,bg_baseexcess_min,wbc_first,bilirubin_last,bun_first,potassium_first,wbc_last,sodium_last
89,spo2_min,lactate_last,SENNOSIDES,bilirubin_max,bilirubin_first,hemoglobin_min,platelet_max,sodium_max
90,resprate_min,sodium_last,bg_paco2_first,diasbp_first,inr_min,FUROSEMIDE,potassium_first,bg_ph_max
91,potassium_last,sysbp_max,platelet_last,bilirubin_first,SODIUM BICARBONATE,albumin_max,spo2_first,ASPART
92,bicarbonate_max,tempc_last,wbc_min,meanbp_min,calcium_max,bg_baseexcess_min,bg_baseexcess_last,NOREPINEPHRINE
93,diasbp_min,platelet_max,age,bg_pao2fio2ratio_last,bg_baseexcess_min,resprate_min,albumin_first,hemoglobin_min
94,sodium_max,bilirubin_last,sodium_last,SENNOSIDES,hemoglobin_last,heartrate_min,potassium_min,CEFTRIAXONE
95,bg_paco2_min,calcium_max,platelet_min,bg_pao2fio2ratio_first,calcium_min,inr_min,bicarbonate_first,albumin_last
96,hemoglobin_first,albumin_last,tempc_min,bun_first,bg_baseexcess_first,albumin_first,ANTICOAGULANT,wbc_max
97,bilirubin_min,calcium_min,resprate_min,platelet_min,hematocrit_last,diasbp_max,sodium_first,spo2_min
98,bicarbonate_first,sodium_min,diasbp_min,calcium_last,heartrate_last,potassium_last,lactate_max,spo2_last
99,albumin_max,spo2_last,lactate_max,bg_baseexcess_max,calcium_last,lactate_min,sodium_max,bicarbonate_max
100,bg_paco2_last,bilirubin_first,bun_first,bg_ph_min,is_female,inr_first,bg_pao2_last,bg_paco2_last
101,sodium_first,spo2_max,bg_baseexcess_min,tempc_max,sodium_first,SODIUM CHLORIDE,calcium_first,lactate_last
102,bg_baseexcess_max,METOPROLOL,sysbp_min,platelet_max,albumin_max,bicarbonate_min,hemoglobin_first,platelet_max
103,sodium_last,inr_last,hematocrit_last,calcium_max,spo2_max,bicarbonate_first,bun_min,bun_first
104,hemoglobin_last,bun_max,platelet_max,calcium_min,bun_last,lactate_last,inr_first,tempc_last
105,bilirubin_first,bilirubin_max,bilirubin_first,bilirubin_min,inr_last,calcium_first,sodium_last,bicarbonate_first
106,inr_max,bg_baseexcess_last,bun_last,bicarbonate_max,bg_baseexcess_last,hemoglobin_max,albumin_last,INSULIN
107,LISPRO,albumin_min,bilirubin_last,potassium_first,hematocrit_first,hemoglobin_last,albumin_max,hemoglobin_last
108,bg_baseexcess_first,bilirubin_min,potassium_min,PROPOFOL,bilirubin_max,bicarbonate_last,AMIODARONE,sodium_first
109,wbc_last,inr_first,calcium_min,bun_max,hemoglobin_min,inr_max,bilirubin_min,hematocrit_max
110,NOREPINEPHRINE,inr_min,bg_baseexcess_first,inr_max,bg_baseexcess_max,calcium_max,sodium_min,platelet_min
111,bg_paco2_first,bicarbonate_min,spo2_max,inr_min,SPIRONOLACTONE,bilirubin_last,bilirubin_last,lactate_max
112,METOPROLOL,ZOLPIDEM,sodium_first,bicarbonate_min,bilirubin_min,albumin_last,bg_baseexcess_max,bilirubin_first
113,CEFTRIAXONE,electivesurgery,hemoglobin_min,inr_first,sodium_max,albumin_min,hemoglobin_last,lactate_min
114,bilirubin_last,is_female,sodium_min,inr_last,bilirubin_last,FAMOTIDINE,bg_baseexcess_first,calcium_max
115,inr_first,PANTOPRAZOLE,calcium_last,ASPIRIN,hematocrit_max,METOPROLOL,lactate_min,inr_min
116,ONDANSETRON,SODIUM CHLORIDE,albumin_min,LISINOPRIL,electivesurgery,MIDAZOLAM,PROCHLORPERAZINE,spo2_max
117,ALBUMIN,HYDROCODONE,bun_max,ZOLPIDEM,NOREPINEPHRINE,PIPERACILLIN,bicarbonate_last,bg_baseexcess_first
118,inr_last,race_black,potassium_first,BISACODYL,VANCOMYCIN,bilirubin_min,VITAMIN,bilirubin_min
119,ASPART,albumin_max,DIAZEPAM,ATORVASTATIN,SIMVASTATIN,IPRATROPIUM,spo2_max,CHLORHEXIDINE
120,bilirubin_max,ASPIRIN,hematocrit_min,is_female,DEXTROSE,OMEPRAZOLE,calcium_max,bg_baseexcess_last
121,albumin_min,ENOXAPARIN,bilirubin_min,bicarbonate_first,CHLORHEXIDINE,is_female,CLONIDINE,bg_baseexcess_max
122,MORPHINE,race_other,DEXMEDETOMIDINE,DEXTROSE,ALBUTEROL,ASPIRIN,albumin_min,PROPOFOL
123,electivesurgery,NITROGLYCERIN,spo2_last,VANCOMYCIN,GLUCOSE,NOREPINEPHRINE,HYDRALAZINE,AMIODARONE
124,HYDROCORTISONE,MAGNESIUM SULF,DOCUSATE,OMEPRAZOLE,MORPHINE,HEPARIN,bicarbonate_max,PHENYLEPHRINE
125,LEVETIRACETAM,AMIODARONE,LISINOPRIL,ONDANSETRON,SODIUM CHLORIDE,ONDANSETRON,SIMVASTATIN,HEPARIN
126,FAMOTIDINE,LABETALOL,electivesurgery,LORAZEPAM,LISPRO,MAGNESIUM SULF,race_black,ALBUMIN
127,AMLODIPINE,inr_max,ALPRAZOLAM,HYDRALAZINE,CITALOPRAM,CALCIUM GLUCONATE,bg_baseexcess_min,FENTANYL
128,PROPOFOL,ACETAMIN,ACETAMIN,MAGNESIUM SULF,PANTOPRAZOLE,MORPHINE,ALBUTEROL,VITAMIN
129,FENTANYL,PERCOCET,HYDRALAZINE,POTASSIUM CHLORIDE,INSULIN,PHENYLEPHRINE,hemoglobin_min,PROCHLORPERAZINE
130,TAMSULOSIN,SIMVASTATIN,SODIUM CHLORIDE,MAGNESIUM HYDROXIDE,LEVOTHYROXINE,SENNOSIDES,CARVEDILOL,SODIUM BICARBONATE
131,LABETALOL,SODIUM BICARBONATE,MORPHINE,IPRATROPIUM,DOCUSATE,DOCUSATE,SODIUM BICARBONATE,METOPROLOL
132,OXYCODONE,PARENTERAL NUTRITION,LEVOTHYROXINE,ALBUTEROL,KETOROLAC,FENTANYL,ACETAMIN,LABETALOL
133,DOCUSATE,SODIUM PHOSPHATE,MIDAZOLAM,METOPROLOL,POTASSIUM CHLORIDE,CHLORHEXIDINE,CALCIUM CHLORIDE,CEFAZOLIN
134,ACETAMIN,SODIUM POLYSTYRENE SULFONATE,LORATADINE,MORPHINE,OXYCODONE,POTASSIUM CHLORIDE,PNEUMOCOCCAL,MAGNESIUM SULF
135,DEXAMETHASONE,MINERAL,TRAMADOL,LEVETIRACETAM,LORAZEPAM,ACETAMIN,DEXMEDETOMIDINE,OMEPRAZOLE
136,THIAMINE,OXYCODONE,LEVOFLOXACIN,LEVOTHYROXINE,race_other,CEFTRIAXONE,BISACODYL,HYDROCORTISONE
137,VANCOMYCIN,VASOPRESSIN,CHLORHEXIDINE,INSULIN,ASPIRIN,VANCOMYCIN,MORPHINE,HYDRALAZINE
138,PHYTONADIONE,SPIRONOLACTONE,PANTOPRAZOLE,electivesurgery,PHENYLEPHRINE,ALTEPLASE,race_other,LISPRO
139,OMEPRAZOLE,SUBLIMAZE,THIAMINE,METHYLPREDNISOLONE,HYDROCODONE,CEFAZOLIN,IPRATROPIUM,FAMOTIDINE
140,inr_min,SUCCINYLCHOLINE,ONDANSETRON,LACTATED RINGER,FAMOTIDINE,INSULIN,ZOLPIDEM,SODIUM CHLORIDE
141,LORAZEPAM,MILK OF MAGNESIA,bilirubin_max,MEROPENEM,ACETAMIN,CEFEPIME,ATORVASTATIN,ALPRAZOLAM
142,ENOXAPARIN,TACROLIMUS,HYDROCODONE,FENTANYL,HYDROMORPHONE,MEROPENEM,CALCIUM GLUCONATE,ONDANSETRON
143,CHLORHEXIDINE,METRONIDAZOLE,SODIUM BICARBONATE,ALTEPLASE,LISINOPRIL,POLYETHYLENE GLYCOL,FLUTICASONE-SALMETEROL,ANTICOAGULANT
144,IPRATROPIUM,MIDAZOLAM,is_female,POLYETHYLENE GLYCOL,LANTUS,ASPART,PRILOCAINE,BISACODYL
145,PREDNISONE,MIDODRINE,LORAZEPAM,NOREPINEPHRINE,race_black,WARFARIN,DOCUSATE,HYDROMORPHONE
