,fed
0,VANCOMYCIN
1,SODIUM CHLORIDE
2,wbc_last
3,hematocrit_min
4,bg_paco2_last
5,ONDANSETRON
6,bg_baseexcess_min
7,resprate_min
8,hemoglobin_last
9,tempc_max
10,INSULIN
11,PIPERACILLIN
12,calcium_min
13,heartrate_first
14,glucose_last
15,electivesurgery
16,CEFAZOLIN
17,hemoglobin_max
18,FENTANYL
19,wbc_first
20,age
21,hemoglobin_first
22,glucose_max
23,sysbp_min
24,sodium_last
25,resprate_first
26,tempc_first
27,sysbp_max
28,FUROSEMIDE
29,NITROGLYCERIN
30,SENNOSIDES
31,bg_ph_min
32,glucose_min
33,bg_ph_first
34,IPRATROPIUM
35,creatinine_first
36,bun_max
37,wbc_max
38,bicarbonate_first
39,sodium_first
40,inr_last
41,heartrate_min
42,platelet_max
43,calcium_max
44,platelet_last
45,bg_pao2fio2ratio_first
46,bg_pao2fio2ratio_last
47,bun_first
48,bg_pao2_first
49,potassium_min
50,METOPROLOL
51,diasbp_first
52,meanbp_last
53,bicarbonate_last
54,calcium_first
55,platelet_first
56,ALBUMIN
57,spo2_min
58,sysbp_last
59,DEXTROSE
60,HYDROMORPHONE
61,bg_pao2_last
62,bg_baseexcess_first
63,hematocrit_last
64,CARVEDILOL
65,heartrate_max
66,bg_ph_max
67,bg_paco2_first
68,hematocrit_first
69,bg_pao2fio2ratio_min
70,meanbp_min
71,albumin_min
72,OXYCODONE
73,bicarbonate_min
74,albumin_first
75,urineoutput_sum
76,ENOXAPARIN
77,race_black
78,tempc_min
79,bg_paco2_max
80,CEFEPIME
81,PANTOPRAZOLE
82,POTASSIUM CHLORIDE
83,sodium_min
84,lactate_max
85,bg_baseexcess_max
86,CALCIUM GLUCONATE
87,heartrate_last
88,bg_baseexcess_last
89,bg_paco2_min
90,NOREPINEPHRINE
91,CLOPIDOGREL
92,hematocrit_max
93,GLUCOSE
94,bicarbonate_max
95,DEXAMETHASONE
96,AMIODARONE
97,lactate_first
98,inr_max
99,bg_pao2_min
100,PROPOFOL
101,creatinine_min
102,LORAZEPAM
103,bg_ph_last
104,bun_min
105,wbc_min
106,potassium_last
107,creatinine_last
108,lactate_min
109,spo2_last
110,tempc_last
111,creatinine_max
112,inr_min
113,diasbp_last
114,bilirubin_last
115,sysbp_first
116,diasbp_max
117,ALBUTEROL
118,HEPARIN
119,bilirubin_min
120,GABAPENTIN
121,bg_pao2_max
122,HYDROCODONE
123,METOCLOPRAMIDE
124,inr_first
125,albumin_last
126,bilirubin_max
127,albumin_max
128,ALTEPLASE
129,INFLUENZA VAC
130,MIDAZOLAM
131,platelet_min
132,ATORVASTATIN
133,meanbp_first
134,potassium_max
135,MAGNESIUM SULF
136,LABETALOL
137,FOLIC ACID
138,lactate_last
139,MAGNESIUM HYDROXIDE
140,ASPIRIN
141,meanbp_max
142,hemoglobin_min
143,ASPART
144,potassium_first
145,sodium_max
146,ZOLPIDEM
147,LISPRO
148,NALOXONE
149,bilirubin_first
150,spo2_first
151,race_other
152,ACETAMIN
153,CEFTRIAXONE
154,LACTATED RINGER
155,BISACODYL
156,FAMOTIDINE
157,diasbp_min
158,HYDRALAZINE
159,GLUCAGON
160,FLUTICASONE-SALMETEROL
161,LACTULOSE
162,CLONIDINE
163,LISINOPRIL
164,GLARGINE
165,DOCUSATE
166,SIMVASTATIN
167,MONO-SOD
168,ALUM HYDROXIDE
169,TRAMADOL
170,BIOTENE
171,IOPAMIDOL
172,LEVETIRACETAM
173,CHLORHEXIDINE
174,PROCHLORPERAZINE
175,VITAMIN
