,fed
0,VANCOMYCIN
1,hematocrit_min
2,SODIUM CHLORIDE
3,wbc_last
4,wbc_first
5,tempc_max
6,PIPERACILLIN
7,bg_paco2_last
8,FENTANYL
9,hemoglobin_last
10,age
11,bg_baseexcess_min
12,glucose_last
13,ONDANSETRON
14,resprate_min
15,heartrate_first
16,hemoglobin_first
17,calcium_min
18,sysbp_min
19,resprate_first
20,wbc_max
21,electivesurgery
22,INSULIN
23,sysbp_max
24,CEFAZOLIN
25,bun_first
26,glucose_max
27,IPRATROPIUM
28,sodium_first
29,sodium_last
30,glucose_min
31,NITROGLYCERIN
32,bg_ph_first
33,FUROSEMIDE
34,tempc_first
35,SENNOSIDES
36,bicarbonate_first
37,bg_pao2_first
38,platelet_max
39,calcium_first
40,heartrate_min
41,creatinine_first
42,hemoglobin_max
43,sysbp_last
44,inr_last
45,calcium_max
46,spo2_min
47,bun_max
48,meanbp_last
49,bg_paco2_min
50,meanbp_min
51,bicarbonate_max
52,potassium_min
53,METOPROLOL
54,platelet_last
55,urineoutput_sum
56,albumin_first
57,bg_pao2fio2ratio_last
58,lactate_max
59,OXYCODONE
60,bg_ph_min
61,ALBUMIN
62,creatinine_max
63,albumin_min
64,platelet_first
65,CEFEPIME
66,CARVEDILOL
67,heartrate_last
68,bg_pao2_last
69,platelet_min
70,hematocrit_last
71,bg_baseexcess_first
72,bg_pao2fio2ratio_min
73,NOREPINEPHRINE
74,bicarbonate_min
75,bg_pao2fio2ratio_first
76,diasbp_first
77,POTASSIUM CHLORIDE
78,HYDROMORPHONE
79,bg_baseexcess_max
80,ENOXAPARIN
81,bicarbonate_last
82,lactate_first
83,tempc_min
84,bg_paco2_first
85,diasbp_max
86,race_black
87,CLOPIDOGREL
88,PROPOFOL
89,creatinine_min
90,PANTOPRAZOLE
91,diasbp_last
92,spo2_last
93,bun_min
94,potassium_last
95,DEXAMETHASONE
96,CALCIUM GLUCONATE
97,creatinine_last
98,heartrate_max
99,DEXTROSE
100,meanbp_max
101,AMIODARONE
102,hematocrit_first
103,MORPHINE
104,LORAZEPAM
105,bilirubin_last
106,meanbp_first
107,bg_pao2_min
108,tempc_last
109,lactate_min
110,MIDAZOLAM
111,sysbp_first
112,inr_first
113,resprate_last
114,wbc_min
115,potassium_max
116,HEPARIN
117,hemoglobin_min
118,sodium_min
119,FOLIC ACID
120,bg_paco2_max
121,CHLORHEXIDINE
122,GLUCOSE
123,albumin_max
124,METOCLOPRAMIDE
125,potassium_first
126,bg_ph_max
127,spo2_first
128,ACETAMIN
129,bg_baseexcess_last
130,resprate_max
131,inr_max
132,bg_pao2_max
133,ATORVASTATIN
134,ALBUTEROL
135,sodium_max
136,calcium_last
137,hematocrit_max
138,bg_ph_last
139,diasbp_min
140,LISPRO
141,glucose_first
142,is_female
143,GABAPENTIN
144,ASPIRIN
145,MAGNESIUM SULF
146,HYDROCODONE
147,FAMOTIDINE
148,INFLUENZA VAC
149,bun_last
150,NALOXONE
151,DOCUSATE
152,spo2_max
153,CEFTRIAXONE
154,LABETALOL
155,ALTEPLASE
156,race_other
157,FLUTICASONE-SALMETEROL
158,BISACODYL
159,inr_min
160,ZOLPIDEM
161,BMI
162,albumin_last
163,bilirubin_first
164,LACTATED RINGER
165,lactate_last
166,ASPART
167,bilirubin_max
168,MAGNESIUM HYDROXIDE
169,VITAMIN
170,bg_pao2fio2ratio_max
171,HYDRALAZINE
172,SIMVASTATIN
173,bilirubin_min
174,LISINOPRIL
175,GLARGINE
176,LACTULOSE
177,REFRESH P.M. OP OINT
178,BIOTENE
179,MEROPENEM
180,CLONIDINE
181,MINERAL
182,OMEPRAZOLE
183,TRAMADOL
184,PREDNISONE
185,DEXMEDETOMIDINE
186,LEVOTHYROXINE
187,IOPAMIDOL
188,GLUCAGON
189,AMLODIPINE
190,DIAZEPAM
191,LIDOCAINE
192,AZITHROMYCIN
193,MONO-SOD
194,DILTIAZEM
195,KETOROLAC
196,PRAVASTATIN SODIUM
197,SPIRONOLACTONE
198,PROCHLORPERAZINE
199,ALLOPURINOL
200,DIPHENHYDRAMINE
201,LEVOFLOXACIN
202,ALUM HYDROXIDE
203,THIAMINE
204,CALCIUM CARBONATE
205,HYDROCORTISONE
206,PNEUMOCOCCAL
207,PHENYLEPHRINE
208,WARFARIN
209,PLASMA-LYTE
210,TAMSULOSIN
211,LEVETIRACETAM
212,METHYLPREDNISOLONE
213,SODIUM BICARBONATE
214,POLYETHYLENE GLYCOL
215,ALPRAZOLAM
216,SODIUM PHOSPHATE
217,LOSARTAN
218,GUAIFENESIN
219,DIGOXIN
220,HALOPERIDOL
221,race_hispanic
222,FERROUS
223,METRONIDAZOLE
224,NICOTINE
225,CALCIUM CHLORIDE
226,LANTUS
227,TIOTROPIUM
228,LORATADINE
229,ANTICOAGULANT
230,MUPIROCIN
231,TRAZODONE
232,ATROPINE
233,TICAGRELOR
234,AMINOCAPROIC ACID
235,METFORMIN
236,NITROPRUSSIDE
237,PROMETHAZINE
238,HYDROCHLOROTHIAZIDE
239,CLONAZEPAM
240,SERTRALINE
241,RINGERS SOLUTION
242,NICARDIPINE
243,PHYTONADIONE
244,ISOSORBIDE
245,race_asian
246,MEPERIDINE
247,PRILOCAINE
248,TACROLIMUS
249,QUETIAPINE
250,CIPROFLOXACIN
251,CITALOPRAM
252,MIDODRINE
253,ROCURONIUM
