,fed
0,PIPERACILLIN
1,tempc_max
2,creatinine_first
3,CEFEPIME
4,bg_baseexcess_first
5,sysbp_first
6,ANTICOAGULANT
7,creatinine_max
8,sysbp_min
9,albumin_min
10,MEPERIDINE
11,race_other
12,PREDNISONE
13,albumin_last
14,DIPHENHYDRAMINE
15,albumin_first
16,inr_first
17,bg_ph_first
18,bg_paco2_last
19,LOSARTAN
20,albumin_max
21,electivesurgery
22,PHENERGAN
23,PERCOCET
24,PARENTERAL NUTRITION
25,PANTOPRAZOLE
26,PLAVIX
27,PLASMA-LYTE
28,PHYTONADIONE
29,PHENYLEPHRINE
30,ENOXAPARIN
31,DOPAMINE
32,meanbp_min
33,POTASSIUM CHLORIDE
34,POLYETHYLENE GLYCOL
35,PNU-IMMUNE-23
36,PNEUMOCOCCAL
37,bg_baseexcess_min
38,bg_ph_min
39,bg_pao2fio2ratio_min
40,bg_paco2_min
41,PRILOCAINE
42,PRECEDEX
43,PRAVASTATIN SODIUM
44,POTASSIUM PHOSPHATE
45,bg_pao2_min
46,spo2_min
47,tempc_min
48,resprate_min
49,PRINIVIL
50,diasbp_min
51,NYSTATIN
52,ONDANSETRON
53,OPTIRAY
54,OXYCODONE
55,bicarbonate_min
56,heartrate_min
57,wbc_last
58,NARCAN
59,NALOXONE
60,ECOTRIN
61,MUPIROCIN
62,sodium_last
63,potassium_last
64,platelet_last
65,lactate_last
66,NEXTERONE
67,NEURONTIN
68,NEOSTIGMINE METHYLSULFATE
69,NEOSTIGMINE
70,inr_last
71,bilirubin_min
72,bg_pao2fio2ratio_max
73,NITRO-BID
74,NICOTINE
75,NICARDIPINE
76,PROCHLORPERAZINE
77,sodium_min
78,bg_pao2_max
79,spo2_max
80,resprate_max
81,NORCO
82,NITROPRUSSIDE
83,NITROGLYCERIN
84,meanbp_max
85,diasbp_max
86,sysbp_max
87,NICODERM
88,NORVASC
89,NORMODYNE
90,NOREPINEPHRINE
91,heartrate_max
92,wbc_min
93,potassium_min
94,bun_min
95,TIOTROPIUM
96,TICAGRELOR
97,PULMICORT RESPULE
98,PROPOFOL
99,PROMETHAZINE
100,platelet_min
101,lactate_min
102,inr_min
103,hemoglobin_min
104,TRANSDERM-SCOP
105,TRANDATE
106,TRAMADOL
107,TORADOL
108,hematocrit_min
109,glucose_min
110,creatinine_min
111,calcium_min
112,THIAMINE
113,ULTRAM
114,TRAZODONE
115,hemoglobin_last
116,hematocrit_last
117,glucose_last
118,VITAMIN
119,VENTOLIN
120,VASOPRESSIN
121,VALIUM
122,ZOCOR
123,ZESTRIL
124,XANAX
125,WARFARIN
126,hemoglobin_first
127,hematocrit_first
128,glucose_first
129,calcium_first
130,TAMSULOSIN
131,MOTRIN
132,VANCOMYCIN
133,ZOLPIDEM
134,bun_first
135,bilirubin_first
136,bicarbonate_first
137,REGLAN
138,REFRESH P.M. OP OINT
139,QUETIAPINE
140,SUCCINYLCHOLINE
141,creatinine_last
142,bg_pao2fio2ratio_first
143,bg_paco2_first
144,bg_pao2_first
145,RESTORIL
146,spo2_first
147,tempc_first
148,resprate_first
149,meanbp_first
150,SENNOSIDES
151,ROXICODONE
152,ROCURONIUM
153,RINGERS SOLUTION
154,diasbp_first
155,lactate_first
156,platelet_first
157,SIMVASTATIN
158,SIMETHICONE
159,SEROQUEL
160,TACROLIMUS
161,potassium_first
162,sodium_first
163,calcium_last
164,bun_last
165,SODIUM POLYSTYRENE SULFONATE
166,SODIUM PHOSPHATE
167,SODIUM CHLORIDE
168,SODIUM BICARBONATE
169,bilirubin_last
170,bicarbonate_last
