,420,122,243,252,458,199,73,Agg
0,PIPERACILLIN,tempc_max,FENTANYL,VANCOMYCIN,bg_baseexcess_min,VANCOMYCIN,PIPERACILLIN,age
1,MIDAZOLAM,age,sysbp_min,ONDANSETRON,heartrate_last,diasbp_first,sodium_first,bg_paco2_last
2,LISPRO,bicarbonate_first,heartrate_min,BMI,hemoglobin_first,SODIUM CHLORIDE,bg_paco2_last,PIPERACILLIN
3,VANCOMYCIN,SODIUM CHLORIDE,ACETAMIN,resprate_first,bg_pao2_first,sysbp_max,age,sodium_first
4,CEFEPIME,diasbp_min,PIPERACILLIN,tempc_max,glucose_first,spo2_first,CHLORHEXIDINE,ONDANSETRON
5,CEFTRIAXONE,resprate_min,albumin_min,ACETAMIN,calcium_min,POTASSIUM CHLORIDE,CALCIUM GLUCONATE,CHLORHEXIDINE
6,tempc_max,heartrate_first,FUROSEMIDE,wbc_min,resprate_min,CHLORHEXIDINE,electivesurgery,VANCOMYCIN
7,bg_ph_min,bg_baseexcess_max,sysbp_last,wbc_max,wbc_last,hemoglobin_last,ONDANSETRON,bg_paco2_min
8,CEFAZOLIN,diasbp_first,tempc_max,bg_paco2_min,glucose_last,wbc_first,CEFAZOLIN,SODIUM CHLORIDE
9,heartrate_first,meanbp_max,PANTOPRAZOLE,bicarbonate_first,tempc_first,tempc_first,bg_baseexcess_last,PANTOPRAZOLE
10,creatinine_first,diasbp_last,CHLORHEXIDINE,glucose_first,ALBUTEROL,meanbp_first,glucose_last,glucose_last
11,sysbp_first,sysbp_first,DEXTROSE,wbc_last,potassium_min,hematocrit_first,POTASSIUM CHLORIDE,CALCIUM GLUCONATE
12,resprate_first,bg_baseexcess_first,lactate_max,CEFAZOLIN,hematocrit_last,glucose_last,bg_pao2fio2ratio_min,diasbp_max
13,bun_first,resprate_last,diasbp_last,meanbp_min,glucose_min,wbc_last,PANTOPRAZOLE,bg_baseexcess_last
14,spo2_max,bg_ph_first,race_other,heartrate_last,IPRATROPIUM,inr_max,FUROSEMIDE,resprate_min
15,is_female,calcium_last,bg_ph_max,SODIUM CHLORIDE,wbc_first,tempc_max,HYDROMORPHONE,FUROSEMIDE
16,bg_baseexcess_min,bg_pao2_min,glucose_max,diasbp_max,electivesurgery,sysbp_first,hemoglobin_last,bicarbonate_first
17,bg_paco2_first,glucose_min,sysbp_max,wbc_first,bg_ph_last,bg_paco2_first,GLUCOSE,FENTANYL
18,hemoglobin_first,sysbp_max,resprate_first,tempc_last,calcium_last,ALBUTEROL,sodium_last,bg_paco2_first
19,HEPARIN,spo2_min,METOPROLOL,lactate_last,sysbp_last,resprate_first,diasbp_max,POTASSIUM CHLORIDE
20,wbc_last,bg_pao2_max,tempc_first,bg_paco2_max,bg_pao2fio2ratio_max,sysbp_last,bg_paco2_min,potassium_max
21,ENOXAPARIN,hemoglobin_last,sysbp_first,is_female,hematocrit_min,bg_baseexcess_first,LORAZEPAM,bg_baseexcess_max
22,bg_pao2_last,bg_ph_last,sodium_first,glucose_max,bicarbonate_max,spo2_min,SODIUM CHLORIDE,glucose_max
23,bg_paco2_last,sysbp_min,hemoglobin_max,FAMOTIDINE,spo2_min,inr_first,VANCOMYCIN,sodium_last
24,potassium_last,sodium_first,SODIUM CHLORIDE,meanbp_last,hemoglobin_max,diasbp_max,glucose_max,tempc_min
25,NOREPINEPHRINE,bg_paco2_last,ATORVASTATIN,hematocrit_min,resprate_last,bg_pao2fio2ratio_max,FENTANYL,ALBUTEROL
26,bg_pao2fio2ratio_last,bg_pao2fio2ratio_max,bg_pao2_min,bg_ph_last,INSULIN,bg_ph_last,HYDROCODONE,electivesurgery
27,creatinine_last,resprate_first,bicarbonate_last,urineoutput_sum,spo2_max,calcium_min,bg_paco2_first,heartrate_first
28,SODIUM CHLORIDE,spo2_last,bg_ph_last,meanbp_max,resprate_first,creatinine_last,bg_baseexcess_max,bg_pao2_first
29,bg_baseexcess_last,potassium_last,tempc_min,NOREPINEPHRINE,bg_paco2_first,hemoglobin_max,bicarbonate_first,bg_ph_first
30,sysbp_max,bun_last,bg_paco2_max,spo2_last,tempc_min,resprate_min,potassium_max,sysbp_max
31,bicarbonate_min,wbc_first,meanbp_min,PANTOPRAZOLE,age,BMI,hematocrit_min,tempc_first
32,hemoglobin_max,platelet_last,heartrate_max,creatinine_first,heartrate_max,heartrate_first,GLUCAGON,bg_pao2fio2ratio_min
33,bg_ph_max,heartrate_last,inr_max,diasbp_min,is_female,glucose_min,bg_pao2_first,AMIODARONE
34,bg_pao2fio2ratio_min,hematocrit_min,spo2_first,ALBUTEROL,heartrate_min,hematocrit_min,bg_pao2fio2ratio_first,hemoglobin_last
35,electivesurgery,bg_paco2_min,tempc_last,METHYLPREDNISOLONE,SODIUM CHLORIDE,resprate_last,heartrate_first,HYDROCODONE
36,bg_baseexcess_max,electivesurgery,bun_min,potassium_last,tempc_max,creatinine_first,ASPIRIN,DEXTROSE
37,METRONIDAZOLE,albumin_first,bicarbonate_max,tempc_min,bg_pao2fio2ratio_min,albumin_min,lactate_min,diasbp_first
38,POTASSIUM CHLORIDE,meanbp_first,urineoutput_sum,BISACODYL,sodium_last,bg_pao2_min,DEXTROSE,creatinine_last
39,sodium_min,tempc_first,ALBUTEROL,hemoglobin_min,bg_baseexcess_last,inr_last,ALBUMIN,LORAZEPAM
40,bg_ph_last,IPRATROPIUM,HEPARIN,hematocrit_max,lactate_first,urineoutput_sum,REFRESH P.M. OP OINT,BMI
41,inr_last,platelet_first,glucose_first,DEXTROSE,hematocrit_first,sodium_max,diasbp_last,tempc_last
42,potassium_min,resprate_max,sodium_max,potassium_first,wbc_max,SENNOSIDES,bg_ph_min,spo2_last
43,ONDANSETRON,urineoutput_sum,bg_pao2fio2ratio_last,bg_pao2_last,ENOXAPARIN,lactate_min,bg_baseexcess_first,hematocrit_min
44,meanbp_last,lactate_first,VANCOMYCIN,bg_pao2_first,bg_baseexcess_first,creatinine_max,meanbp_last,INSULIN
45,bilirubin_max,bg_paco2_max,hemoglobin_last,CLOPIDOGREL,bg_baseexcess_max,sodium_min,ALBUTEROL,sysbp_min
46,sysbp_min,albumin_min,CLOPIDOGREL,bg_pao2_min,potassium_last,albumin_max,INFLUENZA VAC,resprate_first
47,BISACODYL,wbc_min,platelet_max,bg_pao2fio2ratio_max,calcium_max,DOCUSATE,tempc_first,platelet_first
48,tempc_first,ASPIRIN,sodium_min,potassium_max,bg_pao2_max,MIDAZOLAM,sysbp_max,spo2_max
49,glucose_min,bicarbonate_last,diasbp_max,SENNOSIDES,meanbp_min,bg_pao2_first,bg_ph_first,inr_last
50,meanbp_min,ALBUTEROL,resprate_max,ENOXAPARIN,albumin_first,tempc_min,sodium_max,meanbp_last
51,bg_paco2_min,diasbp_max,bg_pao2_last,bun_last,resprate_max,heartrate_min,tempc_last,hematocrit_first
52,ATORVASTATIN,calcium_first,bg_pao2_max,bg_pao2_max,bg_paco2_min,ONDANSETRON,bg_baseexcess_min,sodium_max
53,inr_min,HYDROCODONE,GLARGINE,hemoglobin_last,FAMOTIDINE,CEFAZOLIN,CARVEDILOL,FAMOTIDINE
54,ALBUTEROL,meanbp_min,potassium_last,hemoglobin_max,calcium_first,hematocrit_max,hematocrit_first,lactate_min
55,wbc_first,bg_pao2_last,platelet_first,bg_ph_first,albumin_min,bg_pao2fio2ratio_min,MAGNESIUM HYDROXIDE,inr_max
56,calcium_first,is_female,calcium_last,bg_paco2_last,wbc_min,PIPERACILLIN,diasbp_first,bg_ph_min
57,hematocrit_min,calcium_min,spo2_min,tempc_first,inr_last,bicarbonate_max,bicarbonate_last,ASPIRIN
58,sodium_first,platelet_max,diasbp_first,HYDROCODONE,creatinine_min,bg_ph_min,bun_first,bicarbonate_last
59,bicarbonate_last,bg_ph_min,hemoglobin_first,inr_last,glucose_max,bg_paco2_max,meanbp_first,meanbp_first
60,diasbp_min,lactate_min,heartrate_last,heartrate_min,bun_last,ACETAMIN,hemoglobin_first,platelet_max
61,LORAZEPAM,bg_pao2_first,potassium_max,heartrate_first,LACTATED RINGER,bg_ph_first,FAMOTIDINE,calcium_min
62,LEVETIRACETAM,sodium_last,hematocrit_last,calcium_max,race_other,bg_baseexcess_last,hemoglobin_max,CEFAZOLIN
63,OXYCODONE,wbc_last,spo2_max,hemoglobin_first,bun_max,OXYCODONE,albumin_min,resprate_max
64,BMI,sodium_min,LORAZEPAM,OMEPRAZOLE,sodium_min,DEXTROSE,platelet_min,bg_ph_max
65,hemoglobin_min,bg_paco2_first,wbc_min,inr_max,NITROGLYCERIN,bg_pao2_max,sysbp_min,spo2_min
66,bg_pao2_max,meanbp_last,race_black,lactate_max,bicarbonate_first,potassium_max,tempc_max,meanbp_max
67,heartrate_min,heartrate_min,CARVEDILOL,bg_ph_min,PANTOPRAZOLE,FENTANYL,albumin_first,wbc_last
68,bg_paco2_max,bicarbonate_max,bicarbonate_first,bg_pao2fio2ratio_min,sysbp_max,calcium_first,tempc_min,INFLUENZA VAC
69,bg_pao2fio2ratio_first,albumin_last,BIOTENE,lactate_first,creatinine_last,ASPART,potassium_last,albumin_first
70,hematocrit_last,hematocrit_last,bg_baseexcess_last,potassium_min,GLUCOSE,INSULIN,spo2_max,heartrate_min
71,albumin_min,PANTOPRAZOLE,albumin_last,sysbp_last,sysbp_min,lactate_last,HYDRALAZINE,bg_baseexcess_first
72,FAMOTIDINE,ONDANSETRON,bilirubin_last,bg_pao2fio2ratio_last,BMI,sysbp_min,BMI,DOCUSATE
73,potassium_first,glucose_first,inr_first,bicarbonate_last,albumin_max,age,ACETAMIN,HYDROMORPHONE
74,bg_pao2_min,hemoglobin_first,ONDANSETRON,sysbp_max,heartrate_first,wbc_max,spo2_last,hemoglobin_first
75,PANTOPRAZOLE,bg_pao2fio2ratio_last,bun_last,METOCLOPRAMIDE,meanbp_first,spo2_max,heartrate_min,creatinine_min
76,sodium_max,bun_max,sodium_last,spo2_first,potassium_first,platelet_max,platelet_first,CARVEDILOL
77,age,tempc_last,ASPART,glucose_last,lactate_last,hemoglobin_first,creatinine_last,hemoglobin_max
78,bg_pao2_first,BMI,wbc_max,sodium_last,LORAZEPAM,bg_pao2fio2ratio_first,creatinine_min,bg_pao2fio2ratio_first
79,heartrate_max,albumin_max,bg_paco2_last,bg_baseexcess_min,hemoglobin_min,bg_pao2_last,hematocrit_last,wbc_max
80,diasbp_last,heartrate_max,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,spo2_first,hematocrit_last,wbc_last,ACETAMIN
81,creatinine_max,sodium_max,resprate_last,meanbp_first,potassium_max,potassium_last,sysbp_last,albumin_max
82,calcium_min,lactate_last,bg_pao2fio2ratio_min,MAGNESIUM HYDROXIDE,bg_ph_max,bg_baseexcess_max,INSULIN,inr_min
83,INSULIN,race_black,glucose_last,albumin_min,bun_first,inr_min,platelet_max,urineoutput_sum
84,glucose_first,creatinine_max,calcium_first,resprate_min,bg_paco2_last,PLASMA-LYTE,resprate_min,potassium_first
85,potassium_max,glucose_last,HYDROCODONE,hematocrit_first,lactate_max,bg_pao2fio2ratio_last,LISPRO,tempc_max
