,420,122,243,252,458,199,73,Agg
0,PIPERACILLIN,age,PIPERACILLIN,VANCOMYCIN,resprate_min,VANCOMYCIN,PIPERACILLIN,hematocrit_min
1,MIDAZOLAM,SODIUM CHLORIDE,sysbp_min,ONDANSETRON,bg_baseexcess_min,diasbp_first,sodium_first,VANCOMYCIN
2,LISPRO,tempc_max,FENTANYL,BMI,heartrate_last,SODIUM CHLORIDE,age,hemoglobin_first
3,CEFEPIME,bicarbonate_first,ACETAMIN,meanbp_min,bg_pao2_first,tempc_first,electivesurgery,creatinine_first
4,creatinine_first,diasbp_min,albumin_min,resprate_first,glucose_first,glucose_last,bg_paco2_min,bg_paco2_last
5,CEFTRIAXONE,bg_baseexcess_max,heartrate_min,tempc_max,hematocrit_min,sysbp_max,bg_paco2_last,wbc_first
6,bg_ph_min,diasbp_first,race_other,hematocrit_min,tempc_max,spo2_first,HYDROMORPHONE,platelet_last
7,tempc_max,heartrate_first,sysbp_first,bg_ph_last,hemoglobin_first,POTASSIUM CHLORIDE,REFRESH P.M. OP OINT,bg_baseexcess_min
8,bg_pao2fio2ratio_last,calcium_last,FUROSEMIDE,meanbp_last,wbc_last,hematocrit_first,ONDANSETRON,bg_baseexcess_first
9,heartrate_first,diasbp_last,sysbp_max,ACETAMIN,calcium_min,calcium_min,bg_pao2fio2ratio_min,bg_paco2_min
10,hemoglobin_first,bg_ph_first,CHLORHEXIDINE,glucose_first,potassium_min,creatinine_first,sodium_last,wbc_max
11,bun_first,meanbp_max,diasbp_last,diasbp_max,wbc_first,hemoglobin_last,FENTANYL,meanbp_min
12,bg_baseexcess_min,bg_pao2_min,DEXTROSE,bicarbonate_first,sysbp_last,wbc_first,glucose_max,CHLORHEXIDINE
13,spo2_max,hemoglobin_last,PANTOPRAZOLE,meanbp_max,glucose_last,creatinine_last,bg_baseexcess_last,hematocrit_last
14,bg_paco2_last,resprate_min,bg_ph_max,wbc_last,hemoglobin_max,wbc_last,CALCIUM GLUCONATE,race_black
15,resprate_first,bg_ph_last,tempc_max,NOREPINEPHRINE,tempc_first,sysbp_last,tempc_max,hemoglobin_last
