,420,122,243,252,458,199,73,Agg
0,PIPERACILLIN,tempc_max,PIPERACILLIN,VANCOMYCIN,creatinine_first,VANCOMYCIN,PIPERACILLIN,VANCOMYCIN
1,CEFEPIME,age,sysbp_min,resprate_first,resprate_min,tempc_first,bun_first,resprate_first
2,CEFTRIAXONE,resprate_min,FENTANYL,heartrate_first,ALBUTEROL,creatinine_first,bg_paco2_last,tempc_max
3,MIDAZOLAM,heartrate_first,albumin_min,creatinine_first,creatinine_max,tempc_max,diasbp_first,PIPERACILLIN
4,creatinine_first,resprate_first,albumin_first,heartrate_max,calcium_min,heartrate_max,CEFAZOLIN,NITROGLYCERIN
5,resprate_first,heartrate_min,meanbp_min,tempc_min,bg_baseexcess_max,heartrate_first,BMI,resprate_min
6,tempc_max,diasbp_min,bg_paco2_max,tempc_max,calcium_last,resprate_first,bun_max,bg_baseexcess_last
7,heartrate_first,albumin_last,resprate_max,BMI,tempc_first,diasbp_first,creatinine_last,sysbp_min
8,CEFAZOLIN,resprate_last,spo2_min,heartrate_last,tempc_max,sysbp_first,glucose_max,creatinine_first
9,glucose_min,SODIUM CHLORIDE,creatinine_max,CEFAZOLIN,bun_max,resprate_max,tempc_first,heartrate_first
10,resprate_max,heartrate_max,spo2_first,SODIUM CHLORIDE,meanbp_min,creatinine_max,wbc_last,heartrate_max
11,bilirubin_max,bicarbonate_first,resprate_first,urineoutput_sum,diasbp_min,bg_pao2_first,meanbp_max,bg_baseexcess_min
12,heartrate_max,tempc_first,CHLORHEXIDINE,tempc_first,bg_baseexcess_min,sysbp_last,lactate_last,electivesurgery
13,age,tempc_last,bicarbonate_max,bg_pao2fio2ratio_first,glucose_last,diasbp_min,resprate_first,SODIUM CHLORIDE
14,creatinine_min,hematocrit_first,sysbp_last,sysbp_last,resprate_max,calcium_min,glucose_last,bun_max
15,METRONIDAZOLE,bg_paco2_first,creatinine_min,heartrate_min,sysbp_min,age,heartrate_first,tempc_last
16,inr_first,resprate_max,hematocrit_max,NOREPINEPHRINE,bg_pao2_first,meanbp_first,tempc_max,bg_pao2_max
17,AMINOCAPROIC ACID,diasbp_first,tempc_max,bg_pao2_min,glucose_first,wbc_min,bg_pao2_max,CEFAZOLIN
18,VANCOMYCIN,albumin_first,tempc_min,bg_baseexcess_max,sysbp_first,bg_pao2_max,tempc_min,creatinine_max
19,diasbp_min,albumin_max,bun_first,resprate_min,albumin_last,calcium_last,hematocrit_min,bun_min
20,ONDANSETRON,bg_baseexcess_max,heartrate_min,glucose_max,age,bun_max,bg_pao2_first,wbc_last
21,meanbp_last,urineoutput_sum,creatinine_last,bg_ph_min,heartrate_first,urineoutput_sum,bg_baseexcess_max,diasbp_min
22,bg_pao2fio2ratio_min,bg_pao2_max,bg_ph_first,creatinine_min,heartrate_max,potassium_first,bg_pao2_min,bg_pao2_first
23,heartrate_min,hematocrit_last,sysbp_first,wbc_max,resprate_last,bg_ph_max,PANTOPRAZOLE,albumin_last
24,spo2_max,bg_paco2_last,urineoutput_sum,sysbp_first,glucose_min,SODIUM CHLORIDE,sysbp_max,urineoutput_sum
25,bicarbonate_first,glucose_last,bun_last,albumin_last,bg_paco2_first,spo2_first,glucose_first,FENTANYL
26,bun_min,diasbp_last,meanbp_first,meanbp_last,hemoglobin_last,wbc_first,diasbp_max,bicarbonate_max
27,bg_pao2fio2ratio_last,bicarbonate_min,bg_ph_min,bg_baseexcess_last,urineoutput_sum,wbc_last,heartrate_max,tempc_first
28,is_female,bg_ph_last,bun_min,hemoglobin_min,wbc_last,inr_max,VANCOMYCIN,inr_max
29,bg_pao2fio2ratio_max,potassium_max,hematocrit_first,sysbp_max,sysbp_last,BMI,resprate_min,albumin_max
30,meanbp_first,bg_ph_first,bg_paco2_first,calcium_min,inr_min,lactate_last,albumin_last,bg_paco2_max
31,diasbp_last,sysbp_first,creatinine_first,bg_ph_last,electivesurgery,bg_ph_first,age,bg_baseexcess_first
32,bun_last,BMI,bicarbonate_min,bg_ph_max,bg_pao2fio2ratio_max,CHLORHEXIDINE,wbc_min,heartrate_min
33,creatinine_last,tempc_min,calcium_last,hematocrit_first,bun_first,MEROPENEM,sysbp_min,heartrate_last
34,lactate_last,hemoglobin_max,heartrate_first,platelet_first,meanbp_first,inr_last,calcium_min,albumin_min
35,inr_last,bg_paco2_min,wbc_first,tempc_last,meanbp_last,calcium_first,heartrate_last,spo2_first
36,calcium_first,heartrate_last,BMI,meanbp_max,bg_ph_first,wbc_max,sysbp_last,glucose_first
37,tempc_min,platelet_max,glucose_first,spo2_first,spo2_min,diasbp_max,bg_ph_first,albumin_first
38,glucose_last,electivesurgery,heartrate_last,meanbp_first,platelet_min,bg_pao2_min,bicarbonate_last,MIDAZOLAM
39,glucose_first,potassium_last,race_other,spo2_min,calcium_first,bun_last,diasbp_min,creatinine_min
40,heartrate_last,bun_min,diasbp_last,bg_pao2fio2ratio_max,resprate_first,bg_paco2_last,bun_last,bg_paco2_min
41,potassium_min,meanbp_min,wbc_max,diasbp_last,BMI,glucose_max,heartrate_min,resprate_last
42,urineoutput_sum,meanbp_max,lactate_first,meanbp_min,wbc_max,platelet_min,platelet_max,inr_first
