features,avg_score,std_score,dissimalirity_score,categorical
heartrate_first,0.04730235593424951,0.016115195766503533,0.5298879434174161,False
sysbp_first,0.06734377284263496,0.02833521925085401,0.6112791903186184,False
diasbp_first,0.07037812467923284,0.03158751694636337,0.7400365799986629,False
meanbp_first,0.1297455503408799,0.04924257960864866,0.5981533739925884,False
resprate_first,0.10187238682604774,0.041668460439315415,0.5782700137206926,False
tempc_first,0.1363736180993772,0.048723105475584075,0.5012210604595825,False
spo2_first,0.31416003323800434,0.35420520778816855,0.9233311807208259,False
bg_pao2_first,0.08338130304408853,0.03206213070051049,0.6890710435995077,False
bg_paco2_first,0.06867084604284479,0.031761868399700216,0.5482174052395739,False
bg_pao2fio2ratio_first,0.07953069862608331,0.0428492291565118,0.7220830217309921,False
bg_ph_first,0.07047880496244054,0.022686778238719587,0.3667716665296,False
bg_baseexcess_first,0.1747684572159575,0.11123378520292641,0.8667080727077835,False
albumin_first,0.13338915715224497,0.07092237162641075,0.7021139967269732,False
bands_first,0.05758796826145509,0.03568681421230435,0.7656898273030546,False
bicarbonate_first,0.14107361852364567,0.09649594848172151,0.7214339766157951,False
bilirubin_first,0.1228932021963345,0.07262255935163141,0.7750569424418133,False
bun_first,0.08541397597937092,0.03867595680737665,0.583839006997432,False
calcium_first,0.1491080217609758,0.07774059810179822,0.6575005624676864,False
creatinine_first,0.1356228809764986,0.06617900909462478,0.6421198519070705,False
glucose_first,0.06330605410154057,0.02387368308407542,0.4697094928579752,False
hematocrit_first,0.08340912881120623,0.0360006964437369,0.6244362402484689,False
hemoglobin_first,0.08592254092070399,0.041269840746783526,0.585712372457283,False
inr_first,0.13614206932286455,0.06763163459887848,0.7409008122301681,False
lactate_first,0.12714998874277472,0.06777112867747681,0.5421030573681774,False
platelet_first,0.08449039306424762,0.03853600929556566,0.7040718089717528,False
potassium_first,0.07856656519768643,0.03363922908065933,0.5498027627524029,False
sodium_first,0.11122343818217748,0.05724673608401444,0.735756149038093,False
wbc_first,0.08648593988995192,0.027468393409277612,0.5576626456560257,False
heartrate_last,0.06277390765484968,0.027382187637485355,0.6225135622544667,False
sysbp_last,0.043256195508714644,0.015296181903538101,0.589253384578758,False
